	1405 s
A	erg/s/cm2/A
1375.2	2.259E-13
1376.4	2.07545E-13
1377.6	2.35073E-13
1378.8	2.40846E-13
1379.8	2.16839E-13
1381	2.36242E-13
1382.2	2.55753E-13
1383.4	2.16715E-13
1384.6	2.236E-13
1385.8	2.31654E-13
1387	2.30984E-13
1388.2	2.55309E-13
1389.4	2.78462E-13
1390.6	3.31048E-13
1391.6	4.29694E-13
1392.8	5.3103E-13
1394	5.45554E-13
1395.2	4.91022E-13
1396.4	3.74322E-13
1397.6	3.01563E-13
1398.8	3.12248E-13
1400	3.53084E-13
1401.2	4.27186E-13
1402.4	4.29615E-13
1403.4	4.18712E-13
1404.6	4.07204E-13
1405.8	3.07595E-13
1407	2.60281E-13
1408.2	2.42387E-13
1409.4	2.62906E-13
1410.6	2.25242E-13
1411.8	2.18095E-13
1413	2.37345E-13
1414	2.42959E-13
1415.2	2.41285E-13
1416.4	2.51512E-13
1417.6	2.49088E-13
1418.8	2.48301E-13
1420	2.2894E-13
1421.2	2.25913E-13
1422.4	2.50464E-13
1423.6	2.39287E-13
1424.8	2.42664E-13
1425.8	2.38107E-13
1427	2.24438E-13
1428.2	2.30805E-13
1429.4	2.34836E-13
1430.6	2.44117E-13
1431.8	2.35782E-13
1433	2.58582E-13
1434.2	2.31481E-13
1435.4	2.22282E-13
1436.6	2.26759E-13
1437.6	2.26693E-13
1438.8	2.25334E-13
1440	2.26953E-13
1441.2	2.1795E-13
1442.4	2.28218E-13
1443.6	2.35464E-13
1444.8	2.45376E-13
1446	2.37544E-13
1447.2	2.38839E-13
1448.4	2.35631E-13
1449.4	2.37331E-13
1450.6	2.579E-13
1451.8	2.4037E-13
1453	2.2227E-13
1454.2	2.22834E-13
1455.4	2.3935E-13
1456.6	2.39626E-13
1457.8	2.56853E-13
1459	2.45871E-13
1460.2	2.36339E-13
1461.2	2.40029E-13
1462.4	2.46959E-13
1463.6	2.29937E-13
1464.8	2.39356E-13
1466	2.58896E-13
1467.2	2.48324E-13
1468.4	2.56639E-13
1469.6	2.68668E-13
1470.8	2.58146E-13
1472	2.41299E-13
1473	2.48575E-13
1474.2	2.61522E-13
1475.4	2.52004E-13
1476.6	2.57819E-13
1477.8	2.60076E-13
1479	2.43423E-13
1480.2	2.54823E-13
1481.4	2.70655E-13
1482.6	2.4721E-13
1483.8	2.53335E-13
1484.8	2.71671E-13
1486	2.63769E-13
1487.2	2.839E-13
1488.4	2.63999E-13
1489.6	2.75163E-13
1490.8	2.53907E-13
1492	2.56595E-13
1493.2	2.59882E-13
1494.4	2.73237E-13
1495.6	2.7269E-13
1496.6	2.67498E-13
1497.8	2.73091E-13
1499	2.74667E-13
1500.2	2.81172E-13
1501.4	2.80863E-13
1502.6	2.82472E-13
1503.8	2.5329E-13
1505	2.56708E-13
1506.2	2.50048E-13
1507.4	2.54216E-13
1508.4	2.46999E-13
1509.6	2.41847E-13
1510.8	2.5249E-13
1512	2.61078E-13
1513.2	2.41821E-13
1514.4	2.2183E-13
1515.6	2.23769E-13
1516.8	2.2193E-13
1518	2.44035E-13
1519	2.71398E-13
1520.2	2.55832E-13
1521.4	2.50633E-13
1522.6	2.57298E-13
1523.8	2.64518E-13
1525	2.91127E-13
1526.2	2.62901E-13
1527.4	2.48373E-13
1528.6	2.74378E-13
1529.8	2.90359E-13
1530.8	2.72935E-13
1532	2.65744E-13
1533.2	2.59982E-13
1534.4	2.7493E-13
1535.6	2.54928E-13
1536.8	2.54928E-13
1538	2.54928E-13
1539.2	2.54928E-13
1540.4	2.54928E-13
1541.6	2.54928E-13
1542.6	2.54928E-13
1543.8	2.54928E-13
1545	2.54928E-13
1546.2	2.82513E-13
1547.4	3.33592E-13
1548.6	3.55431E-13
1549.8	3.55122E-13
1551	3.32979E-13
1552.2	3.08737E-13
1553.4	2.55389E-13
1554.4	2.54928E-13
1555.6	2.54928E-13
1556.8	2.54928E-13
1558	2.54928E-13
1559.2	2.54928E-13
1560.4	2.54928E-13
1561.6	2.54928E-13
1562.8	2.54928E-13
1564	2.54928E-13
1565.2	2.79798E-13
1566.2	2.84633E-13
1567.4	2.81042E-13
1568.6	2.69585E-13
1569.8	2.70869E-13
1571	2.6475E-13
1572.2	2.43989E-13
1573.4	2.6026E-13
1574.6	2.52846E-13
1575.8	2.65754E-13
1577	2.73431E-13
1578	2.84673E-13
1579.2	2.77676E-13
1580.4	2.93188E-13
1581.6	2.78613E-13
1582.8	2.67008E-13
1584	2.67455E-13
1585.2	2.69766E-13
1586.4	2.75609E-13
1587.6	2.58613E-13
1588.8	2.64686E-13
1589.8	2.60728E-13
1591	2.59303E-13
1592.2	2.6084E-13
1593.4	2.59954E-13
1594.6	2.72948E-13
1595.8	2.73998E-13
1597	2.65205E-13
1598.2	2.51869E-13
1599.4	2.59785E-13
1600.6	2.61512E-13
1601.6	2.44046E-13
1602.8	2.66941E-13
1604	2.66681E-13
1605.2	2.54002E-13
1606.4	2.47563E-13
1607.6	2.58237E-13
1608.8	2.83246E-13
1610	2.61341E-13
1611.2	2.49197E-13
1612.4	2.42632E-13
1613.4	2.48372E-13
1614.6	2.65807E-13
1615.8	2.54845E-13
1617	2.32826E-13
1618.2	2.37047E-13
1619.4	2.59216E-13
1620.6	2.7388E-13
1621.8	2.66929E-13
1623	2.55004E-13
1624	2.59205E-13
1625.2	2.51504E-13
1626.4	2.49125E-13
1627.6	2.56291E-13
1628.8	2.41319E-13
1630	2.45228E-13
1631.2	2.54877E-13
1632.4	2.59075E-13
1633.6	2.66962E-13
1634.8	2.82194E-13
1635.8	2.87112E-13
1637	2.86855E-13
1638.2	3.45248E-13
1639.4	3.60924E-13
1640.6	3.77443E-13
1641.8	3.74248E-13
1643	3.33227E-13
1644.2	2.93954E-13
1645.4	2.62541E-13
1646.6	2.58373E-13
1647.6	2.58881E-13
1648.8	2.63519E-13
1650	2.32683E-13
1651.2	2.36237E-13
1652.4	2.64472E-13
1653.6	2.55403E-13
1654.8	2.64045E-13
1656	2.82809E-13
1657.2	2.97249E-13
1658.4	2.98324E-13
1659.4	2.88969E-13
1660.6	2.74294E-13
1661.8	2.69786E-13
1663	2.68346E-13
1664.2	2.57742E-13
1665.4	2.65644E-13
1666.6	2.61489E-13
1667.8	2.52589E-13
1669	2.52599E-13
1670.2	2.38714E-13
1671.2	2.46166E-13
1672.4	2.57704E-13
1673.6	2.61236E-13
1674.8	2.64474E-13
1676	2.55015E-13
1677.2	2.54746E-13
1678.4	2.58598E-13
1679.6	2.38236E-13
1680.8	2.43912E-13
1682	2.54407E-13
1683	2.52061E-13
1684.2	2.47322E-13
1685.4	2.40347E-13
1686.6	2.31951E-13
1687.8	2.47625E-13
1689	2.59285E-13
1690.2	2.49258E-13
1691.4	2.53178E-13
1692.6	2.60375E-13
1693.8	2.64814E-13
1694.8	2.77068E-13
1696	2.62234E-13
1697.2	2.46397E-13
1698.4	2.54948E-13
1699.6	2.62186E-13
1700.8	2.55804E-13
1702	2.60521E-13
1703.2	2.43552E-13
1704.4	2.42418E-13
1705.6	2.49621E-13
1706.6	2.50195E-13
1707.8	2.49147E-13
1709	2.36666E-13
1710.2	2.39728E-13
1711.4	2.53852E-13
1712.6	2.59433E-13
1713.8	2.54762E-13
1715	2.60779E-13
1716.2	2.62441E-13
1717.4	2.52484E-13
1718.4	2.64967E-13
1719.6	2.77144E-13
1720.8	2.68435E-13
1722	2.56715E-13
1723.2	2.44446E-13
1724.4	2.46252E-13
1725.6	2.57775E-13
1726.8	2.5394E-13
1728	2.52988E-13
1729	2.57377E-13
1730.2	2.50389E-13
1731.4	2.51074E-13
1732.6	2.42192E-13
1733.8	2.40375E-13
1735	2.46784E-13
1736.2	2.59226E-13
1737.4	2.59476E-13
1738.6	2.54283E-13
1739.8	2.60809E-13
1740.8	2.56059E-13
1742	2.46681E-13
1743.2	2.45977E-13
1744.4	2.51276E-13
1745.6	2.54346E-13
1746.8	2.65228E-13
1748	2.74179E-13
1749.2	2.66701E-13
1750.4	2.64696E-13
1751.6	2.65202E-13
1752.6	2.57951E-13
1753.8	2.66811E-13
1755	2.71143E-13
1756.2	2.67948E-13
1757.4	2.7147E-13
1758.6	2.69577E-13
1759.8	2.55615E-13
1761	2.46826E-13
1762.2	2.63637E-13
1763.4	2.7326E-13
1764.4	2.69038E-13
1765.6	2.59405E-13
1766.8	2.67618E-13
1768	2.69516E-13
1769.2	2.63818E-13
1770.4	2.62104E-13
1771.6	2.57456E-13
1772.8	2.62183E-13
1774	2.67968E-13
1775.2	2.70716E-13
1776.2	2.71881E-13
1777.4	2.68719E-13
1778.6	2.63202E-13
1779.8	2.62564E-13
1781	2.55921E-13
1782.2	2.63976E-13
1783.4	2.65761E-13
1784.6	2.71005E-13
1785.8	2.72029E-13
1787	2.6899E-13
1788	2.54066E-13
1789.2	2.41293E-13
1790.4	2.17044E-13
1791.6	1.84398E-13
1792.8	1.71777E-13
1794	1.90787E-13
1795.2	2.15381E-13
1796.4	2.33616E-13
1797.6	2.47779E-13
1798.8	2.56095E-13
1799.8	2.55581E-13
1801	2.63371E-13
1802.2	2.64324E-13
1803.4	2.63103E-13
1804.6	2.58299E-13
1805.8	2.6737E-13
1807	2.69202E-13
1808.2	2.73211E-13
1809.4	2.69411E-13
1810.6	2.67391E-13
1811.6	2.59055E-13
1812.8	2.55009E-13
1814	2.5597E-13
1815.2	2.61573E-13
1816.4	2.62564E-13
1817.6	2.74011E-13
1818.8	2.68581E-13
1820	2.63504E-13
1821.2	2.55625E-13
1822.4	2.5511E-13
1823.4	2.56669E-13
1824.6	2.60781E-13
1825.8	2.62329E-13
1827	2.65534E-13
1828.2	2.64398E-13
1829.4	2.58253E-13
1830.6	2.5029E-13
1831.8	2.4958E-13
1833	2.43346E-13
1834	2.41906E-13
1835.2	2.43229E-13
1836.4	2.47421E-13
1837.6	2.46928E-13
1838.8	2.4755E-13
1840	2.4939E-13
1841.2	2.4607E-13
1842.4	2.50604E-13
1843.6	2.52665E-13
1844.8	2.4666E-13
1845.8	2.47585E-13
1847	2.49348E-13
1848.2	2.52948E-13
1849.4	2.48874E-13
1850.6	2.56501E-13
1851.8	2.60554E-13
1853	2.6499E-13
1854.2	2.63826E-13
1855.4	2.63767E-13
1856.6	2.61568E-13
1857.6	2.65715E-13
1858.8	2.67376E-13
1860	2.66821E-13
1861.2	2.63989E-13
1862.4	2.66949E-13
1863.6	2.59972E-13
1864.8	2.62191E-13
1866	2.55906E-13
1867.2	2.48414E-13
1868.4	2.39228E-13
1869.4	2.46899E-13
1870.6	2.44562E-13
1871.8	2.51025E-13
1873	2.4997E-13
1874.2	2.49796E-13
1875.4	2.45905E-13
1876.6	2.4742E-13
1877.8	2.41311E-13
1879	2.40974E-13
1880.2	2.41169E-13
1881.2	2.483E-13
1882.4	2.46747E-13
1883.6	2.50442E-13
1884.8	2.43827E-13
1886	2.45894E-13
1887.2	2.43386E-13
1888.4	2.48897E-13
1889.6	2.44592E-13
1890.8	2.49115E-13
1892	2.50599E-13
1893	2.54851E-13
1894.2	2.52488E-13
1895.4	2.53397E-13
1896.6	2.52581E-13
1897.8	2.51457E-13
1899	2.47507E-13
1900.2	2.49356E-13
1901.4	2.47059E-13
1902.6	2.45745E-13
1903.8	2.39791E-13
1904.8	2.39697E-13
1906	2.38457E-13
1907.2	2.45449E-13
1908.4	2.46257E-13
1909.6	2.48764E-13
1910.8	2.45728E-13
1912	2.47413E-13
1913.2	2.48104E-13
1914.4	2.49962E-13
1915.6	2.49351E-13
1916.6	2.53311E-13
1917.8	2.47852E-13
1919	2.45686E-13
1920.2	2.4044E-13
1921.4	2.41469E-13
1922.6	2.46491E-13
1923.8	2.4845E-13
1925	2.44968E-13
1926.2	2.49047E-13
1927.4	2.55114E-13
1928.4	2.56194E-13
1929.6	2.56728E-13
1930.8	2.5411E-13
1932	2.49929E-13
1933.2	2.50525E-13
1934.4	2.43462E-13
1935.6	2.45887E-13
1936.8	2.40107E-13
1938	2.41688E-13
1939	2.39795E-13
1940.2	2.43914E-13
1941.4	2.41818E-13
1942.6	2.41316E-13
1943.8	2.39737E-13
1945	2.37131E-13
1946.2	2.37853E-13
1947.4	2.37377E-13
1948.6	2.38662E-13
1949.8	2.38954E-13
1950.8	2.40062E-13
1952	2.44316E-13
1953.2	2.45286E-13
1954.4	2.49068E-13
1955.6	2.49715E-13
1956.8	2.51179E-13
1958	2.46037E-13
1959.2	2.47309E-13
1960.4	2.47872E-13
1961.6	2.47326E-13
1962.6	2.46501E-13
1963.8	2.47298E-13
1965	2.46193E-13
1966.2	2.41098E-13
1967.4	2.36725E-13
1968.6	2.34583E-13
1969.8	2.36678E-13
1971	2.36379E-13
1972.2	2.3273E-13
1973.4	2.33435E-13
1974.4	2.34049E-13
1975.6	2.3757E-13
1976.8	2.386E-13
1978	2.41113E-13
1979.2	2.40204E-13
1980.4	2.41119E-13
1981.6	2.42173E-13
1982.8	2.47979E-13
2000.4	2.33419E-13
2002.2	2.33122E-13
2004.2	2.2946E-13
2006	2.29705E-13
2009.8	2.29039E-13
2011.6	2.19075E-13
2013.6	2.15717E-13
2015.4	2.20106E-13
2017.2	2.2109E-13
2019.2	2.26398E-13
2021	2.2523E-13
2022.8	2.17023E-13
2024.8	2.13441E-13
2026.6	2.1319E-13
2028.4	2.23444E-13
2030.4	2.15489E-13
2032.2	2.09699E-13
2034	2.14132E-13
2036	2.1831E-13
2037.8	2.24812E-13
2039.6	2.33871E-13
2041.6	2.32395E-13
2043.4	2.30501E-13
2045.4	2.39172E-13
2047.2	2.39007E-13
2049	2.37025E-13
2051	2.4857E-13
2052.8	2.52966E-13
2054.6	2.44457E-13
2056.6	2.39292E-13
2058.4	2.41562E-13
2060.2	2.50217E-13
2062.2	2.59463E-13
2064	2.59167E-13
2065.8	2.53132E-13
2067.8	2.45877E-13
2069.6	2.44011E-13
2071.4	2.38528E-13
2073.4	2.44732E-13
2075.2	2.44354E-13
2077	2.35616E-13
2079	2.26979E-13
2080.8	2.23674E-13
2082.6	2.28516E-13
2084.6	2.20816E-13
2086.4	2.11032E-13
2088.4	2.06968E-13
2090.2	1.97646E-13
2092	1.97496E-13
2094	2.15097E-13
2095.8	2.29596E-13
2097.6	2.26092E-13
2099.6	2.20392E-13
2101.4	2.20928E-13
2103.2	2.26182E-13
2105.2	2.41019E-13
2107	2.49441E-13
2108.8	2.60957E-13
2110.8	2.7325E-13
2112.6	2.80375E-13
2114.4	2.76082E-13
2116.4	2.80214E-13
2118.2	2.88916E-13
2120	2.99029E-13
2122	2.99808E-13
2123.8	3.00945E-13
2125.6	3.13038E-13
2127.6	3.14159E-13
2129.4	3.18237E-13
2131.4	3.2323E-13
2133.2	3.12764E-13
2135	3.04275E-13
2137	3.04193E-13
2138.8	3.0307E-13
2140.6	3.06696E-13
2142.6	3.04313E-13
2144.4	2.95032E-13
2146.2	2.91191E-13
2148.2	2.92984E-13
2150	2.91311E-13
2151.8	2.86339E-13
2153.8	2.82071E-13
2155.6	2.83386E-13
2157.4	2.94105E-13
2159.4	3.04699E-13
2161.2	2.99144E-13
2163	2.93638E-13
2165	2.89863E-13
2166.8	2.94386E-13
2168.6	2.95622E-13
2170.6	2.96927E-13
2172.4	2.99474E-13
2174.4	2.9317E-13
2176.2	2.89196E-13
2178	2.87452E-13
2180	2.83136E-13
2181.8	2.83716E-13
2183.6	2.80937E-13
2185.6	2.81052E-13
2187.4	2.77739E-13
2189.2	2.7502E-13
2191.2	2.71661E-13
2193	2.74192E-13
2194.8	2.70121E-13
2196.8	2.6121E-13
2198.6	2.4696E-13
2200.4	2.53826E-13
2202.4	3.01141E-13
2204.2	1.94992E-13
2206	5.05725E-13
2208	4.79532E-13
2209.8	2.0023E-13
2211.8	3.46242E-13
2213.6	4.31875E-13
2215.4	2.28339E-13
2217.4	1.74671E-13
2219.2	3.28762E-13
2221	4.07355E-13
2223	3.01785E-13
2224.8	3.48001E-13
2226.6	3.24936E-13
2228.6	2.99221E-13
2230.4	4.29516E-13
2232.2	2.63759E-13
2234.2	4.07971E-13
2236	4.94274E-13
2237.8	4.11692E-13
2239.8	2.69084E-13
2241.6	3.46814E-13
2243.4	3.75987E-13
2245.4	3.99548E-13
2247.2	3.80109E-13
2249	3.3717E-13
2251	4.7894E-13
2252.8	5.37453E-13
2254.8	6.39514E-13
2256.6	4.97785E-13
2258.4	4.45879E-13
2260.4	7.01705E-13
2262.2	6.651E-13
2264	5.09758E-13
2266	4.34779E-13
2267.8	5.1823E-13
2269.6	5.77073E-13
2271.6	5.30792E-13
2273.4	3.3765E-13
2275.2	4.3882E-13
2277.2	6.0584E-13
2279	5.12233E-13
2280.8	4.6368E-13
2282.8	5.21389E-13
2284.6	2.59106E-13
2286.4	3.8451E-13
2288.4	5.11485E-13
2290.2	3.46129E-13
2292	3.38707E-13
2294	4.70693E-13
2295.8	4.74148E-13
2297.8	4.61282E-13
2299.6	6.13653E-13
2301.4	6.72835E-13
2303.4	5.5993E-13
2305.2	4.08318E-13
2307	3.57647E-13
2309	2.91332E-13
2310.8	4.13862E-13
2312.6	3.25567E-13
2314.6	3.89452E-13
2316.4	4.53773E-13
2318.2	4.31692E-13
2320.2	5.49298E-13
2322	4.36363E-13
2323.8	3.95959E-13
2325.8	5.12649E-13
2327.6	6.82479E-13
2329.4	6.78372E-13
2331.4	6.60375E-13
2333.2	7.87832E-13
2335	6.65725E-13
2337	6.0135E-13
2338.8	8.16991E-13
2340.8	8.83329E-13
2342.6	8.59779E-13
2344.4	9.6315E-13
2346.4	9.65842E-13
2348.2	8.16837E-13
2350	8.76827E-13
2352	8.42834E-13
2353.8	5.79997E-13
2355.6	6.52427E-13
2357.6	7.088E-13
2359.4	8.53591E-13
2361.2	1.0408E-12
2363.2	9.24139E-13
2365	9.40551E-13
2366.8	9.16349E-13
2368.8	9.52005E-13
2370.6	8.5273E-13
2372.4	7.02418E-13
2374.4	6.50328E-13
2376.2	6.8229E-13
2378	9.74707E-13
2380	1.19334E-12
2381.8	1.32801E-12
2383.8	1.28565E-12
2385.6	1.25679E-12
2387.4	9.37821E-13
2389.4	7.98296E-13
2391.2	7.61991E-13
2393	9.32983E-13
2395	1.09957E-12
2396.8	1.0182E-12
2398.6	1.05479E-12
2400.6	1.06616E-12
2402.4	1.04234E-12
2404.2	1.09798E-12
2406.2	1.05847E-12
2408	1.18396E-12
2409.8	1.39316E-12
2411.8	1.10569E-12
2413.6	1.00516E-12
2415.4	8.33709E-13
2417.4	5.1908E-13
2419.2	5.46831E-13
2421	6.42298E-13
2423	6.70338E-13
2424.8	6.97374E-13
2426.8	7.54309E-13
2428.6	7.78086E-13
2430.4	8.25454E-13
