	Wavelength (nm)		Flux (erg/s/cm2/nm)	
           101.2600021362             0.0105128653
           101.2699966431             0.0105355306
           101.2799987793             0.0105501771
           101.2900009155             0.0105648236
           101.3000030518             0.0105713945
           101.3099975586             0.0105941050
           101.3199996948             0.0106087515
           101.3300018311             0.0106152889
           101.3399963379             0.0106380328
           101.3499984741             0.0106526786
           101.3600006104             0.0106673251
           101.3700027466             0.0106738182
           101.3799972534             0.0106966065
           101.3899993896             0.0107112530
           101.4000015259             0.0107258995
           101.4100036621             0.0107323474
           101.4199981689             0.0107551801
           101.4300003052             0.0107698259
           101.4400024414             0.0107762411
           101.4499969482             0.0107991080
           101.4599990845             0.0108137538
           101.4700012207             0.0108284003
           101.4800033569             0.0108347704
           101.4899978638             0.0108576816
           101.5000000000             0.0109822504
           101.5100021362             0.0117560303
           101.5199966431             0.0126573446
           101.5299987793             0.0135500261
           101.5400009155             0.0144427075
           101.5500030518             0.0153233515
           101.5599975586             0.0162273878
           101.5699996948             0.0171200707
           101.5800018311             0.0179986717
           101.5899963379             0.0189047525
           101.5999984741             0.0197974339
           101.6100006104             0.0206901139
           101.6200027466             0.0215659937
           101.6299972534             0.0224747957
           101.6399993896             0.0233674786
           101.6500015259             0.0242601585
           101.6600036621             0.0251333142
           101.6699981689             0.0260448403
           101.6800003052             0.0269375218
           101.6900024414             0.0278086343
           101.6999969482             0.0287222036
           101.7099990845             0.0296148850
           101.7200012207             0.0305075664
           101.7300033569             0.0313759549
           101.7399978638             0.0322922482
           101.7500000000             0.0331849296
           101.7600021362             0.0340512779
           101.7699966431             0.0349696114
           101.7799987793             0.0358622929
           101.7900009155             0.0367549743
           101.8000030518             0.0376185984
           101.8099975586             0.0385396532
           101.8199996948             0.0394323346
           101.8300018311             0.0402939186
           101.8399963379             0.0412170193
           101.8499984741             0.0421096978
           101.8600006104             0.0430023792
           101.8700027466             0.0438612391
           101.8799972534             0.0447870640
           101.8899993896             0.0456797454
           101.9000015259             0.0465724239
           101.9100036621             0.0474285625
           101.9199981689             0.0483571086
           101.9300003052             0.0492497871
           101.9400024414             0.0501038798
           101.9499969482             0.0510344689
           101.9599990845             0.0519271474
           101.9700012207             0.0528198318
           101.9800033569             0.0536712003
           101.9899978638             0.0546045136
           102.0000000000             0.0554971921
           102.0100021362             0.0563465233
           102.0199966431             0.0572818797
           102.0299987793             0.0581745582
           102.0400009155             0.0590672425
           102.0500030518             0.0599138439
           102.0599975586             0.0608519185
           102.0699996948             0.0617446029
           102.0800018311             0.0626372814
           102.0899963379             0.0634811702
           102.0999984741             0.0644219632
           102.1100006104             0.0653146475
           102.1200027466             0.0661564874
           102.1299972534             0.0670993293
           102.1399993896             0.0679920078
           102.1500015259             0.0688318047
           102.1600036621             0.0697766955
           102.1699981689             0.0706693740
           102.1800003052             0.0715620525
           102.1900024414             0.0723991252
           102.1999969482             0.0733467401
           102.2099990845             0.0742394186
           102.2200012207             0.0751320971
           102.2300033569             0.0759664457
           102.2399978638             0.0769167847
           102.2500000000             0.0778094633
           102.2600021362             0.0786417688
           102.2699966431             0.0795941392
           102.2799987793             0.0804868236
           102.2900009155             0.0813795079
           102.3000030518             0.0822090893
           102.3099975586             0.0831641839
           102.3199996948             0.0840568682
           102.3300018311             0.0849495467
           102.3399963379             0.0857764157
           102.3499984741             0.0867342285
           102.3600006104             0.0876269129
           102.3700027466             0.0884517387
           102.3799972534             0.0894115947
           102.3899993896             0.0903042732
           102.4000015259             0.0911270501
           102.4100036621             0.0920889608
           102.4199981689             0.0929816393
           102.4300003052             0.0938743178
           102.4400024414             0.0946943706
           102.4499969482             0.0956590055
           102.4599990845             0.0965516840
           102.4700012207             0.0974443625
           102.4800033569             0.0982616912
           102.4899978638             0.0992290443
           102.5000000000             0.1000139746
           102.5100021362             0.1000770018
           102.5199966431             0.1001853961
           102.5299987793             0.1002174104
           102.5400009155             0.1002494246
           102.5500030518             0.1002049423
           102.5599975586             0.1003134297
           102.5699996948             0.1003454439
           102.5800018311             0.1003774581
           102.5899963379             0.1003328711
           102.5999984741             0.1004414633
           102.6100006104             0.1004734775
           102.6200027466             0.1004288206
           102.6299972534             0.1005374826
           102.6399993896             0.1005694969
           102.6500015259             0.1005247585
           102.6600036621             0.1006334904
           102.6699981689             0.1006655046
           102.6800003052             0.1006975188
           102.6900024414             0.1006526873
           102.6999969482             0.1007615239
           102.7099990845             0.1007935381
           102.7200012207             0.1008255524
           102.7300033569             0.1007806277
           102.7399978638             0.1008895575
           102.7500000000             0.1009215717
           102.7600021362             0.1008765656
           102.7699966431             0.1009855652
           102.7799987793             0.1010175794
           102.7900009155             0.1010496053
           102.8000030518             0.1010044944
           102.8099975586             0.1011135988
           102.8199996948             0.1011456130
           102.8300018311             0.1011776272
           102.8399963379             0.1011324232
           102.8499984741             0.1012416324
           102.8600006104             0.1012736466
           102.8700027466             0.1012283727
           102.8799972534             0.1013376517
           102.8899993896             0.1013696659
           102.9000015259             0.1013243105
           102.9100036621             0.1014336594
           102.9199981689             0.1014656737
           102.9300003052             0.1014976879
           102.9400024414             0.1014522510
           102.9499969482             0.1015616930
           102.9599990845             0.1015937072
           102.9700012207             0.1016257214
           102.9800033569             0.1015801798
           102.9899978638             0.1016897266
           103.0000000000             0.1017217408
           103.0100021362             0.1016761293
           103.0199966431             0.1017857343
           103.0299987793             0.1018177602
           103.0400009155             0.1018497744
           103.0500030518             0.1018040581
           103.0599975586             0.1019137679
           103.0699996948             0.1019457821
           103.0800018311             0.1019777963
           103.0899963379             0.1019319869
           103.0999984741             0.1020418014
           103.1100006104             0.1020738157
           103.1200027466             0.1020279364
           103.1299972534             0.1021378208
           103.1399993896             0.1021698350
           103.1500015259             0.1021238742
           103.1600036621             0.1022338285
           103.1699981689             0.1022658427
           103.1800003052             0.1022978569
           103.1900024414             0.1022518030
           103.1999969482             0.1023618621
           103.2099990845             0.1023938763
           103.2200012207             0.1024258905
           103.2300033569             0.1023797435
           103.2399978638             0.1024898957
           103.2500000000             0.1025219099
           103.2600021362             0.1024756813
           103.2699966431             0.1025859150
           103.2799987793             0.1026179292
           103.2900009155             0.1026499434
           103.3000030518             0.1026036101
           103.3099975586             0.1027139369
           103.3199996948             0.1027459512
           103.3300018311             0.1027779654
           103.3399963379             0.1027315506
           103.3499984741             0.1028419705
           103.3600006104             0.1028739847
           103.3700027466             0.1028274884
           103.3799972534             0.1029379899
           103.3899993896             0.1029700041
           103.4000015259             0.1029234380
           103.4100036621             0.1030339976
           103.4199981689             0.1030660118
           103.4300003052             0.1030980260
           103.4400024414             0.1030513668
           103.4499969482             0.1031620428
           103.4599990845             0.1031940454
           103.4700012207             0.1032260596
           103.4800033569             0.1031793072
           103.4899978638             0.1032900647
           103.5000000000             0.1032074797
           103.5100021362             0.1023605466
           103.5199966431             0.1015556511
           103.5299987793             0.1006722683
           103.5400009155             0.0997888972
           103.5500030518             0.0988304149
           103.5599975586             0.0980228069
           103.5699996948             0.0971394358
           103.5800018311             0.0962560589
           103.5899963379             0.0953002716
           103.5999984741             0.0944899744
           103.6100006104             0.0936066033
           103.6200027466             0.0926528301
           103.6299972534             0.0918405189
           103.6399993896             0.0909571478
           103.6500015259             0.0900053943
           103.6600036621             0.0891910633
           103.6699981689             0.0883076806
           103.6800003052             0.0874243095
           103.6900024414             0.0864752510
           103.6999969482             0.0856582250
