	Wavelength (nm)		Flux (erg/s/cm2/nm)	
           100.9400024414             0.0393271039
           100.9499969482             0.0394105766
           100.9599990845             0.0394640520
           100.9700012207             0.0395175244
           100.9800033569             0.0395407900
           100.9899978638             0.0396244286
           101.0000000000             0.0396779011
           101.0100021362             0.0397010474
           101.0199966431             0.0397848024
           101.0299987793             0.0398382777
           101.0400009155             0.0398917502
           101.0500030518             0.0399147364
           101.0599975586             0.0399986544
           101.0699996948             0.0400521269
           101.0800018311             0.0400749879
           101.0899963379             0.0401590340
           101.0999984741             0.0402125064
           101.1100006104             0.0402659789
           101.1200027466             0.0402886741
           101.1299972534             0.0403728831
           101.1399993896             0.0404263585
           101.1500015259             0.0404798280
           101.1600036621             0.0405023631
           101.1699981689             0.0405867322
           101.1800003052             0.0406402047
           101.1900024414             0.0406626204
           101.1999969482             0.0407471089
           101.2099990845             0.0408005842
           101.2200012207             0.0408540567
           101.2300033569             0.0408763037
           101.2399978638             0.0409609609
           101.2500000000             0.0410144334
           101.2600021362             0.0410365610
           101.2699966431             0.0411213405
           101.2799987793             0.0411748100
           101.2900009155             0.0412282825
           101.3000030518             0.0412502472
           101.3099975586             0.0413351867
           101.3199996948             0.0413886592
           101.3300018311             0.0414105045
           101.3399963379             0.0414955663
           101.3499984741             0.0415490387
           101.3600006104             0.0416025112
           101.3700027466             0.0416241877
           101.3799972534             0.0417094154
           101.3899993896             0.0417628908
           101.4000015259             0.0418163632
           101.4100036621             0.0418378768
           101.4199981689             0.0419232645
           101.4300003052             0.0419767370
           101.4400024414             0.0419981312
           101.4499969482             0.0420836412
           101.4599990845             0.0421371165
           101.4700012207             0.0421905890
           101.4800033569             0.0422118203
           101.4899978638             0.0422974932
           101.5000000000             0.0436686852
           101.5100021362             0.0528897333
           101.5199966431             0.0635052333
           101.5299987793             0.0740843941
           101.5400009155             0.0846635550
           101.5500030518             0.0951660331
           101.5599975586             0.1058137976
           101.5699996948             0.1163929701
           101.5800018311             0.1268712454
           101.5899963379             0.1375432243
           101.5999984741             0.1481223851
           101.6100006104             0.1587015344
           101.6200027466             0.1691475511
           101.6299972534             0.1798518002
           101.6399993896             0.1904309611
           101.6500015259             0.2010100987
           101.6600036621             0.2114238450
           101.6699981689             0.2221603645
           101.6800003052             0.2327395137
           101.6900024414             0.2431290690
           101.6999969482             0.2538897796
           101.7099990845             0.2644689521
           101.7200012207             0.2750481013
           101.7300033569             0.2854053630
           101.7399978638             0.2961983671
           101.7500000000             0.3067775164
           101.7600021362             0.3171105636
           101.7699966431             0.3279277822
           101.7799987793             0.3385069314
           101.7900009155             0.3490861040
           101.8000030518             0.3593868576
           101.8099975586             0.3702363465
           101.8199996948             0.3808155190
           101.8300018311             0.3910920583
           101.8399963379             0.4019657616
           101.8499984741             0.4125449341
           101.8600006104             0.4231241066
           101.8700027466             0.4333683755
           101.8799972534             0.4442743491
           101.8899993896             0.4548534751
           101.9000015259             0.4654326476
           101.9100036621             0.4756446928
           101.9199981689             0.4865828902
           101.9300003052             0.4971620627
           101.9400024414             0.5073498935
           101.9499969482             0.5183123052
           101.9599990845             0.5288914312
           101.9700012207             0.5394706037
           101.9800033569             0.5496262107
           101.9899978638             0.5606208928
           102.0000000000             0.5712000653
           102.0100021362             0.5813314114
           102.0199966431             0.5923502613
           102.0299987793             0.6029294338
           102.0400009155             0.6135086063
           102.0500030518             0.6236077286
           102.0599975586             0.6346588954
           102.0699996948             0.6452380214
           102.0800018311             0.6558171939
           102.0899963379             0.6658839993
           102.0999984741             0.6769674364
           102.1100006104             0.6875466090
           102.1200027466             0.6975892466
           102.1299972534             0.7086968515
           102.1399993896             0.7192760240
           102.1500015259             0.7292944472
           102.1600036621             0.7404262666
           102.1699981689             0.7510053925
           102.1800003052             0.7615845650
           102.1900024414             0.7715707645
           102.1999969482             0.7827349007
           102.2099990845             0.7933139801
           102.2200012207             0.8038931526
           102.2300033569             0.8138470352
           102.2399978638             0.8250433952
           102.2500000000             0.8356225677
           102.2600021362             0.8455522358
           102.2699966431             0.8567728102
           102.2799987793             0.8673519827
           102.2900009155             0.8779311553
           102.3000030518             0.8878285065
           102.3099975586             0.8990813978
           102.3199996948             0.9096605703
           102.3300018311             0.9202397428
           102.3399963379             0.9301047772
           102.3499984741             0.9413899854
           102.3600006104             0.9519691579
           102.3700027466             0.9618100710
           102.3799972534             0.9731194004
           102.3899993896             0.9836985730
           102.4000015259             0.9935152717
           102.4100036621             1.0048487224
           102.4199981689             1.0154279880
           102.4300003052             1.0260070674
           102.4400024414             1.0357915424
           102.4499969482             1.0471574031
           102.4599990845             1.0577364825
           102.4700012207             1.0683157481
           102.4800033569             1.0780678131
           102.4899978638             1.0894659907
           102.5000000000             1.0982723907
           102.5100021362             1.0956235230
           102.5199966431             1.0928800330
           102.5299987793             1.0892988183
           102.5400009155             1.0857176967
           102.5500030518             1.0813123547
           102.5599975586             1.0785579681
           102.5699996948             1.0749767534
           102.5800018311             1.0713955387
           102.5899963379             1.0670012794
           102.5999984741             1.0642359033
           102.6100006104             1.0606546886
           102.6200027466             1.0562685318
           102.6299972534             1.0534949601
           102.6399993896             1.0499139316
           102.6500015259             1.0455358773
           102.6600036621             1.0427542031
           102.6699981689             1.0391729884
           102.6800003052             1.0355917737
           102.6900024414             1.0312248021
           102.6999969482             1.0284320451
           102.7099990845             1.0248508304
           102.7200012207             1.0212696157
           102.7300033569             1.0169136338
           102.7399978638             1.0141100734
           102.7500000000             1.0105288588
           102.7600021362             1.0061808862
           102.7699966431             1.0033691302
           102.7799987793             0.9997879155
           102.7900009155             0.9962067008
           102.8000030518             0.9918698110
           102.8099975586             0.9890470654
           102.8199996948             0.9854658507
           102.8300018311             0.9818846360
           102.8399963379             0.9775586426
           102.8499984741             0.9747250937
           102.8600006104             0.9711437859
           102.8700027466             0.9668259881
           102.8799972534             0.9639841504
           102.8899993896             0.9604029357
           102.9000015259             0.9560933337
           102.9100036621             0.9532433003
           102.9199981689             0.9496620856
           102.9300003052             0.9460808709
           102.9400024414             0.9417821653
           102.9499969482             0.9389212355
           102.9599990845             0.9353400208
           102.9700012207             0.9317588061
           102.9800033569             0.9274709970
           102.9899978638             0.9245991707
           103.0000000000             0.9210179560
           103.0100021362             0.9167383425
           103.0199966431             0.9138582274
           103.0299987793             0.9102770127
           103.0400009155             0.9066958912
           103.0500030518             0.9024271742
           103.0599975586             0.8995361626
           103.0699996948             0.8959549479
           103.0800018311             0.8923738264
           103.0899963379             0.8881160058
           103.0999984741             0.8852141909
           103.1100006104             0.8816329762
           103.1200027466             0.8773833513
           103.1299972534             0.8744733408
           103.1399993896             0.8708921261
           103.1500015259             0.8666506968
           103.1600036621             0.8637323976
           103.1699981689             0.8601511829
           103.1800003052             0.8565700613
           103.1900024414             0.8523395285
           103.1999969482             0.8494103327
           103.2099990845             0.8458291180
           103.2200012207             0.8422479965
           103.2300033569             0.8380283602
           103.2399978638             0.8350882679
           103.2500000000             0.8315070532
           103.2600021362             0.8272957057
           103.2699966431             0.8243474178
           103.2799987793             0.8207662031
           103.2900009155             0.8171849884
           103.3000030518             0.8129845373
           103.3099975586             0.8100252599
           103.3199996948             0.8064441383
           103.3300018311             0.8028629236
           103.3399963379             0.7986733690
           103.3499984741             0.7957032882
           103.3600006104             0.7921220735
           103.3700027466             0.7879408076
           103.3799972534             0.7849624380
           103.3899993896             0.7813812234
           103.4000015259             0.7772080600
           103.4100036621             0.7742215414
           103.4199981689             0.7706403267
           103.4300003052             0.7670591120
           103.4400024414             0.7628968917
           103.4499969482             0.7598994300
           103.4599990845             0.7563182618
           103.4700012207             0.7527370472
           103.4800033569             0.7485857699
           103.4899978638             0.7455773652
           103.5000000000             0.7415864617
           103.5100021362             0.7345829625
           103.5199966431             0.7282925770
           103.5299987793             0.7214386947
           103.5400009155             0.7145849057
           103.5500030518             0.7071938831
           103.5599975586             0.7008825429
           103.5699996948             0.6940287072
           103.5800018311             0.6871749181
           103.5899963379             0.6798047572
           103.5999984741             0.6734725554
           103.6100006104             0.6666187663
           103.6200027466             0.6592642516
           103.6299972534             0.6529163569
           103.6399993896             0.6460625678
           103.6500015259             0.6387237459
           103.6600036621             0.6323601585
           103.6699981689             0.6255063228
           103.6800003052             0.6186524872
           103.6900024414             0.6113346666
           103.6999969482             0.6049501244
           103.7099990845             0.5980963353
           103.7200012207             0.5912425462
           103.7300033569             0.5839455407
           103.7399978638             0.5775401369
           103.7500000000             0.5706863478
           103.7600021362             0.5634050351
           103.7699966431             0.5569839384
           103.7799987793             0.5501301493
           103.7900009155             0.5432763137
           103.8000030518             0.5360159557
           103.8099975586             0.5295739044
           103.8199996948             0.5227201153
           103.8300018311             0.5158663262
           103.8399963379             0.5086268298
           103.8499984741             0.5021639168
           103.8600006104             0.4953100812
           103.8700027466             0.4880863242
           103.8799972534             0.4816077184
           103.8899993896             0.4747538827
           103.9000015259             0.4675457720
           103.9100036621             0.4610515200
           103.9199981689             0.4541976843
           103.9300003052             0.4473438952
           103.9400024414             0.4401566926
           103.9499969482             0.4336415324
           103.9599990845             0.4267876968
           103.9700012207             0.4199339077
           103.9800033569             0.4127676133
           103.9899978638             0.4062314983
           104.0000000000             0.3993776627
           104.0100021362             0.3922271077
           104.0199966431             0.3856752999
           104.0299987793             0.3788214875
           104.0400009155             0.3719676984
           104.0500030518             0.3648379818
           104.0599975586             0.3582652891
           104.0699996948             0.3514114767
           104.0800018311             0.3445576876
           104.0899963379             0.3374488791
           104.0999984741             0.3308552783
           104.1100006104             0.3240014892
           104.1200027466             0.3169083735
           104.1299972534             0.3102990799
           104.1399993896             0.3034452675
           104.1500015259             0.2963678446
           104.1600036621             0.2897429047
           104.1699981689             0.2828890691
           104.1800003052             0.2760352567
           104.1900024414             0.2689787652
           104.1999969482             0.2623328939
           104.2099990845             0.2554790583
           104.2200012207             0.2486252459
           104.2300033569             0.2415896626
           104.2399978638             0.2349228831
           104.2500000000             0.2280690707
           104.2600021362             0.2210491337
           104.2699966431             0.2143666614
           104.2799987793             0.2075128490
           104.2900009155             0.2006590599
           104.3000030518             0.1936600311
           104.3099975586             0.1869566739
           104.3199996948             0.1801028615
           104.3300018311             0.1732490491
           104.3399963379             0.1662709285
           104.3499984741             0.1595466514
           104.3600006104             0.1526928507
           104.3700027466             0.1457304228
           104.3799972534             0.1389904646
           104.3899993896             0.1321366522
           104.4000015259             0.1251898939
           104.4100036621             0.1184342662
           104.4199981689             0.1115804538
           104.4300003052             0.1047266414
           104.4400024414             0.0978007913
           104.4499969482             0.0910242496
           104.4599990845             0.0841704430
           104.4700012207             0.0773166365
           104.4800033569             0.0704116945
           104.4899978638             0.0636142446
           104.5000000000             0.0576069928
           104.5100021362             0.0566281262
           104.5199966431             0.0565796799
           104.5299987793             0.0564879796
           104.5400009155             0.0563962793
           104.5500030518             0.0562616624
           104.5599975586             0.0562129368
           104.5699996948             0.0561212364
           104.5800018311             0.0560295302
           104.5899963379             0.0558951986
           104.5999984741             0.0558461936
           104.6100006104             0.0557544932
           104.6200027466             0.0556203711
           104.6299972534             0.0555711566
           104.6399993896             0.0554794562
           104.6500015259             0.0553455378
           104.6600036621             0.0552961137
           104.6699981689             0.0552044134
           104.6800003052             0.0551127130
           104.6900024414             0.0549790740
           104.6999969482             0.0549293705
           104.7099990845             0.0548376702
           104.7200012207             0.0547459698
           104.7300033569             0.0546126103
           104.7399978638             0.0545626332
           104.7500000000             0.0544709328
           104.7600021362             0.0543377828
           104.7699966431             0.0542875903
           104.7799987793             0.0541958900
           104.7900009155             0.0541041838
           104.8000030518             0.0539713190
           104.8099975586             0.0539208471
           104.8199996948             0.0538291468
           104.8300018311             0.0537374406
           104.8399963379             0.0536048552
           104.8499984741             0.0535541098
           104.8600006104             0.0534624036
           104.8700027466             0.0533300277
           104.8799972534             0.0532790669
           104.8899993896             0.0531873666
           104.9000015259             0.0530551944
           104.9100036621             0.0530040241
           104.9199981689             0.0529123237
           104.9300003052             0.0528206176
           104.9400024414             0.0526887306
           104.9499969482             0.0526372867
           104.9599990845             0.0525455805
           104.9700012207             0.0524538744
           104.9800033569             0.0523222727
           104.9899978638             0.0522705435
           105.0000000000             0.0521788374
           105.0100021362             0.0520474394
           105.0199966431             0.0519955007
           105.0299987793             0.0519038003
           105.0400009155             0.0518120942
           105.0500030518             0.0516809756
           105.0599975586             0.0516287575
           105.0699996948             0.0515370572
           105.0800018311             0.0514453510
           105.0899963379             0.0513145118
           105.0999984741             0.0512620143
           105.1100006104             0.0511703140
           105.1200027466             0.0510396843
           105.1299972534             0.0509869773
           105.1399993896             0.0508952711
           105.1500015259             0.0507648510
           105.1600036621             0.0507119403
           105.1699981689             0.0506202341
           105.1800003052             0.0505285279
           105.1900024414             0.0503983931
           105.1999969482             0.0503451971
           105.2099990845             0.0502534909
           105.2200012207             0.0501617906
           105.2300033569             0.0500319293
           105.2399978638             0.0499784539
           105.2500000000             0.0498867477
           105.2600021362             0.0497570960
           105.2699966431             0.0497034111
           105.2799987793             0.0496117049
           105.2900009155             0.0495200045
           105.3000030518             0.0493906322
           105.3099975586             0.0493366679
           105.3199996948             0.0492449675
           105.3300018311             0.0491532614
           105.3399963379             0.0490241742
           105.3499984741             0.0489699247
           105.3600006104             0.0488782243
           105.3700027466             0.0487493409
           105.3799972534             0.0486948848
           105.3899993896             0.0486031815
           105.4000015259             0.0484745105
           105.4100036621             0.0484198477
           105.4199981689             0.0483281445
           105.4300003052             0.0482364383
           105.4400024414             0.0481080497
           105.4499969482             0.0480531045
           105.4599990845             0.0479614013
           105.4700012207             0.0478696980
           105.4800033569             0.0477415859
           105.4899978638             0.0476863614
           105.5000000000             0.0476027286
           105.5100021362             0.0475311623
           105.5199966431             0.0475402077
           105.5299987793             0.0475129636
           105.5400009155             0.0474857137
           105.5500030518             0.0474222761
           105.5599975586             0.0474312401
           105.5699996948             0.0474039931
           105.5800018311             0.0473767461
           105.5899963379             0.0473133929
           105.5999984741             0.0473222724
           105.6100006104             0.0472950254
           105.6200027466             0.0472317362
           105.6299972534             0.0472405518
           105.6399993896             0.0472133048
           105.6500015259             0.0471500738
           105.6600036621             0.0471588311
           105.6699981689             0.0471315841
           105.6800003052             0.0471043371
           105.6900024414             0.0470411906
           105.6999969482             0.0470498635
           105.7099990845             0.0470226165
           105.7200012207             0.0469953695
           105.7300033569             0.0469323044
           105.7399978638             0.0469408929
           105.7500000000             0.0469136488
           105.7600021362             0.0468506478
           105.7699966431             0.0468591723
           105.7799987793             0.0468319282
           105.7900009155             0.0468046783
           105.8000030518             0.0467417616
           105.8099975586             0.0467502075
           105.8199996948             0.0467229576
           105.8300018311             0.0466957135
           105.8399963379             0.0466328784
           105.8499984741             0.0466412370
           105.8600006104             0.0466139929
           105.8700027466             0.0465512188
           105.8799972534             0.0465595163
           105.8899993896             0.0465322693
           105.9000015259             0.0464695622
           105.9100036621             0.0464777957
           105.9199981689             0.0464505487
           105.9300003052             0.0464233017
           105.9400024414             0.0463606761
           105.9499969482             0.0463688280
           105.9599990845             0.0463415839
           105.9700012207             0.0463143340
           105.9800033569             0.0462517899
           105.9899978638             0.0462598633
           106.0000000000             0.0462326134
           106.0100021362             0.0461701304
           106.0199966431             0.0461781427
           106.0299987793             0.0461508927
           106.0400009155             0.0461236428
           106.0500030518             0.0460612471
           106.0599975586             0.0460691721
           106.0699996948             0.0460419222
           106.0800018311             0.0460146781
           106.0899963379             0.0459523610
           106.0999984741             0.0459602015
           106.1100006104             0.0459329574
           106.1200027466             0.0458707043
           106.1299972534             0.0458784809
           106.1399993896             0.0458512368
           106.1500015259             0.0457890448
           106.1600036621             0.0457967602
           106.1699981689             0.0457695161
           106.1800003052             0.0457422691
           106.1900024414             0.0456801587
           106.1999969482             0.0456877955
           106.2099990845             0.0456605485
           106.2200012207             0.0456332986
           106.2300033569             0.0455712783
           106.2399978638             0.0455788278
           106.2500000000             0.0455515779
           106.2600021362             0.0454896188
           106.2699966431             0.0454971072
           106.2799987793             0.0454698573
           106.2900009155             0.0454426132
           106.3000030518             0.0453807326
           106.3099975586             0.0453881366
           106.3199996948             0.0453608925
           106.3300018311             0.0453336426
           106.3399963379             0.0452718465
           106.3499984741             0.0452791719
           106.3600006104             0.0452519220
           106.3700027466             0.0451901869
           106.3799972534             0.0451974454
           106.3899993896             0.0451702013
           106.4000015259             0.0451085303
           106.4100036621             0.0451157277
           106.4199981689             0.0450884807
           106.4300003052             0.0450612337
           106.4400024414             0.0449996471
           106.4499969482             0.0450067600
           106.4599990845             0.0449795130
           106.4700012207             0.0449522660
           106.4800033569             0.0448907609
           106.4899978638             0.0448977924
           106.5000000000             0.0448768173
           106.5100021362             0.0448591774
           106.5199966431             0.0449162762
           106.5299987793             0.0449391402
           106.5400009155             0.0449620071
           106.5500030518             0.0449505489
           106.5599975586             0.0450077176
           106.5699996948             0.0450305815
           106.5800018311             0.0450534484
           106.5899963379             0.0450419204
           106.5999984741             0.0450991589
           106.6100006104             0.0451220258
           106.6200027466             0.0451104483
           106.6299972534             0.0451677392
           106.6399993896             0.0451906031
           106.6500015259             0.0452134700
           106.6600036621             0.0452018197
           106.6699981689             0.0452591805
           106.6800003052             0.0452820444
           106.6900024414             0.0452703418
           106.6999969482             0.0453277578
           106.7099990845             0.0453506218
           106.7200012207             0.0453734858
           106.7300033569             0.0453617191
           106.7399978638             0.0454192021
           106.7500000000             0.0454420631
           106.7600021362             0.0454302412
           106.7699966431             0.0454877765
           106.7799987793             0.0455106434
           106.7900009155             0.0455335074
           106.8000030518             0.0455216126
           106.8099975586             0.0455792178
           106.8199996948             0.0456020847
           106.8300018311             0.0456249487
           106.8399963379             0.0456129841
           106.8499984741             0.0456706621
           106.8600006104             0.0456935260
           106.8700027466             0.0456815120
           106.8799972534             0.0457392394
           106.8899993896             0.0457621063
           106.9000015259             0.0457849674
           106.9100036621             0.0457728835
           106.9199981689             0.0458306808
           106.9300003052             0.0458535476
           106.9400024414             0.0458414084
           106.9499969482             0.0458992581
           106.9599990845             0.0459221221
           106.9700012207             0.0459449890
           106.9800033569             0.0459327828
           106.9899978638             0.0459906994
           107.0000000000             0.0460135663
           107.0100021362             0.0460013078
           107.0199966431             0.0460592797
           107.0299987793             0.0460821437
           107.0400009155             0.0461050106
           107.0500030518             0.0460926793
           107.0599975586             0.0461507210
           107.0699996948             0.0461735850
           107.0800018311             0.0461964519
           107.0899963379             0.0461840536
           107.0999984741             0.0462421624
           107.1100006104             0.0462650263
           107.1200027466             0.0462525786
           107.1299972534             0.0463107426
           107.1399993896             0.0463336037
           107.1500015259             0.0463564706
           107.1600036621             0.0463439501
           107.1699981689             0.0464021839
           107.1800003052             0.0464250479
           107.1900024414             0.0464124721
           107.1999969482             0.0464707584
           107.2099990845             0.0464936253
           107.2200012207             0.0465164892
           107.2300033569             0.0465038465
           107.2399978638             0.0465622055
           107.2500000000             0.0465850666
           107.2600021362             0.0465723715
           107.2699966431             0.0466307800
           107.2799987793             0.0466536469
           107.2900009155             0.0466765079
           107.3000030518             0.0466637430
           107.3099975586             0.0467222213
           107.3199996948             0.0467450882
           107.3300018311             0.0467679522
           107.3399963379             0.0467551174
           107.3499984741             0.0468136626
           107.3600006104             0.0468365295
           107.3700027466             0.0468236423
           107.3799972534             0.0468822400
           107.3899993896             0.0469051040
           107.4000015259             0.0469279708
           107.4100036621             0.0469150138
           107.4199981689             0.0469736842
           107.4300003052             0.0469965511
           107.4400024414             0.0469835417
           107.4499969482             0.0470422616
           107.4599990845             0.0470651255
           107.4700012207             0.0470879924
           107.4800033569             0.0470749132
           107.4899978638             0.0471337029
           107.5000000000             0.0471927429
           107.5100021362             0.0474321685
           107.5199966431             0.0477800786
           107.5299987793             0.0480918970
           107.5400009155             0.0484037184
           107.5500030518             0.0486782577
           107.5599975586             0.0490271137
           107.5699996948             0.0493389380
           107.5800018311             0.0496507506
           107.5899963379             0.0499243441
           107.5999984741             0.0502741546
           107.6100006104             0.0505859731
           107.6200027466             0.0508588506
           107.6299972534             0.0512093713
           107.6399993896             0.0515211897
           107.6500015259             0.0518330082
           107.6600036621             0.0521049311
           107.6699981689             0.0524564122
           107.6800003052             0.0527682307
           107.6900024414             0.0530394434
           107.6999969482             0.0533916289
           107.7099990845             0.0537034473
           107.7200012207             0.0540152658
           107.7300033569             0.0542855239
           107.7399978638             0.0546386698
           107.7500000000             0.0549504824
           107.7600021362             0.0552200363
           107.7699966431             0.0555738865
           107.7799987793             0.0558857049
           107.7900009155             0.0561975234
           107.8000030518             0.0564661168
           107.8099975586             0.0568209216
           107.8199996948             0.0571327400
           107.8300018311             0.0574445585
           107.8399963379             0.0577122031
           107.8499984741             0.0580679567
           107.8600006104             0.0583797810
           107.8700027466             0.0586467097
           107.8799972534             0.0590031792
           107.8899993896             0.0593149976
           107.9000015259             0.0596268161
           107.9100036621             0.0598927960
           107.9199981689             0.0602502143
           107.9300003052             0.0605620327
           107.9400024414             0.0608273025
           107.9499969482             0.0611854368
           107.9599990845             0.0614972552
           107.9700012207             0.0618090737
           107.9800033569             0.0620733888
           107.9899978638             0.0624324719
           108.0000000000             0.0627442962
           108.0100021362             0.0630078895
           108.0199966431             0.0633676886
           108.0299987793             0.0636795128
           108.0400009155             0.0639913254
           108.0500030518             0.0642539817
           108.0599975586             0.0646147295
           108.0699996948             0.0649265538
           108.0800018311             0.0652383664
           108.0899963379             0.0655000680
           108.0999984741             0.0658617704
           108.1100006104             0.0661735830
           108.1200027466             0.0664345687
           108.1299972534             0.0667969871
           108.1399993896             0.0671087997
           108.1500015259             0.0674206240
           108.1600036621             0.0676806609
           108.1699981689             0.0680440280
           108.1800003052             0.0683558406
           108.1900024414             0.0686151616
           108.1999969482             0.0689792447
           108.2099990845             0.0692910573
           108.2200012207             0.0696028757
           108.2300033569             0.0698612537
           108.2399978638             0.0702262798
           108.2500000000             0.0705380982
           108.2600021362             0.0707957544
           108.2699966431             0.0711615023
           108.2799987793             0.0714733149
           108.2900009155             0.0717851333
           108.3000030518             0.0720418466
           108.3099975586             0.0724085316
           108.3199996948             0.0727203558
           108.3300018311             0.0730321743
           108.3399963379             0.0732879329
           108.3499984741             0.0736555725
           108.3600006104             0.0739673909
           108.3700027466             0.0742224336
           108.3799972534             0.0745907892
           108.3899993896             0.0749026076
           108.4000015259             0.0752144319
           108.4100036621             0.0754685141
           108.4199981689             0.0758378301
           108.4300003052             0.0761496485
           108.4400024414             0.0764030265
           108.4499969482             0.0767730467
           108.4599990845             0.0770848652
           108.4700012207             0.0773966894
           108.4800033569             0.0776491070
           108.4899978638             0.0780200819
           108.5000000000             0.0782601419
           108.5100021362             0.0780108268
           108.5199966431             0.0778090791
           108.5299987793             0.0775476685
           108.5400009155             0.0772862695
           108.5500030518             0.0769662089
           108.5599975586             0.0767636579
           108.5699996948             0.0765022472
           108.5800018311             0.0762408483
           108.5899963379             0.0759215851
           108.5999984741             0.0757182366
           108.6100006104             0.0754568260
           108.6200027466             0.0751381682
           108.6299972534             0.0749342202
           108.6399993896             0.0746728154
           108.6500015259             0.0744114164
           108.6600036621             0.0740935444
           108.6699981689             0.0738887989
           108.6800003052             0.0736273942
           108.6900024414             0.0733101275
           108.6999969482             0.0731047883
           108.7099990845             0.0728433835
           108.7200012207             0.0725819729
           108.7300033569             0.0722655037
           108.7399978638             0.0720593671
           108.7500000000             0.0717979623
           108.7600021362             0.0714820926
           108.7699966431             0.0712753565
           108.7799987793             0.0710139459
           108.7900009155             0.0707525411
           108.8000030518             0.0704374688
           108.8099975586             0.0702299352
