	Wavelength (nm)		Flux (erg/s/cm2/nm)	
           100.0000000000             0.0646238797
           100.0100021362             0.0640227110
           100.0199966431             0.0635192962
           100.0299987793             0.0629667949
           100.0400009155             0.0624142878
           100.0500030518             0.0618148071
           100.0599975586             0.0613097043
           100.0699996948             0.0607571972
           100.0800018311             0.0601589854
           100.0899963379             0.0596526137
           100.0999984741             0.0591001124
           100.1100006104             0.0585476053
           100.1200027466             0.0579510757
           100.1299972534             0.0574430218
           100.1399993896             0.0568905147
           100.1500015259             0.0563380134
           100.1600036621             0.0557431660
           100.1699981689             0.0552334299
           100.1800003052             0.0546809228
           100.1900024414             0.0540873443
           100.1999969482             0.0535763393
           100.2099990845             0.0530238322
           100.2200012207             0.0524713309
           100.2300033569             0.0518794346
           100.2399978638             0.0513667474
           100.2500000000             0.0508142402
           100.2600021362             0.0502236129
           100.2699966431             0.0497096567
           100.2799987793             0.0491571554
           100.2900009155             0.0486046512
           100.3000030518             0.0480157032
           100.3099975586             0.0475000648
           100.3199996948             0.0469475606
           100.3300018311             0.0463598786
           100.3399963379             0.0458429771
           100.3499984741             0.0452904729
           100.3600006104             0.0447379687
           100.3700027466             0.0441519718
           100.3799972534             0.0436333823
           100.3899993896             0.0430808781
           100.4000015259             0.0425283768
           100.4100036621             0.0419440621
           100.4199981689             0.0414237904
           100.4300003052             0.0408712862
           100.4400024414             0.0402882404
           100.4499969482             0.0397666998
           100.4599990845             0.0392141985
           100.4700012207             0.0386616943
           100.4800033569             0.0380803307
           100.4899978638             0.0375571079
           100.5000000000             0.0370804657
           100.5100021362             0.0370300200
           100.5199966431             0.0371117407
           100.5299987793             0.0371652131
           100.5400009155             0.0372186856
           100.5500030518             0.0372437062
           100.5599975586             0.0373255898
           100.5699996948             0.0373790623
           100.5800018311             0.0374039606
           100.5899963379             0.0374859694
           100.5999984741             0.0375394389
           100.6100006104             0.0375929114
           100.6200027466             0.0376176497
           100.6299972534             0.0376998156
           100.6399993896             0.0377532881
           100.6500015259             0.0378067634
           100.6600036621             0.0378313387
           100.6699981689             0.0379136676
           100.6800003052             0.0379671401
           100.6900024414             0.0379915902
           100.6999969482             0.0380740472
           100.7099990845             0.0381275197
           100.7200012207             0.0381809921
           100.7300033569             0.0382052793
           100.7399978638             0.0382878934
           100.7500000000             0.0383413659
           100.7600021362             0.0383655337
           100.7699966431             0.0384482730
           100.7799987793             0.0385017454
           100.7900009155             0.0385552179
           100.8000030518             0.0385792198
           100.8099975586             0.0386621221
           100.8199996948             0.0387155946
           100.8300018311             0.0387394743
           100.8399963379             0.0388225017
           100.8499984741             0.0388759741
           100.8600006104             0.0389294466
           100.8700027466             0.0389531633
           100.8799972534             0.0390363479
           100.8899993896             0.0390898203
           100.9000015259             0.0391432957
           100.9100036621             0.0391668495
           100.9199981689             0.0392501999
           100.9300003052             0.0393036724
