    ALT(km)      O3          H2O          CH4           CO2            O2           N2O         OH  
     0.500000  1.20000e-19    0.0150000  1.70000e-06     0.100000  2.40000e-13      0.00000  3.80000e-18
      1.50000  2.00000e-19    0.0110000  1.60000e-06     0.100000  2.30000e-13      0.00000  6.80000e-18
      2.50000  3.40000e-19   0.00760000  1.60000e-06     0.100000  2.50000e-13      0.00000  1.00000e-17
      3.50000  6.20000e-19   0.00510000  1.60000e-06     0.100000  2.90000e-13      0.00000  1.30000e-17
      4.50000  1.20000e-18   0.00320000  1.60000e-06     0.100000  3.60000e-13      0.00000  1.60000e-17
      5.50000  2.50000e-18   0.00180000  1.60000e-06     0.100000  4.70000e-13      0.00000  1.90000e-17
      6.50000  4.90000e-18  0.000940000  1.60000e-06     0.100000  5.70000e-13      0.00000  2.00000e-17
      7.50000  1.30000e-17  0.000430000  1.60000e-06     0.100000  8.40000e-13      0.00000  2.20000e-17
      8.50000  8.30000e-17  0.000170000  1.60000e-06     0.100000  3.00000e-12      0.00000  3.00000e-17
      9.50000  9.30000e-16  6.00000e-05  1.60000e-06     0.100000  1.70000e-11      0.00000  5.90000e-17
      10.5000  1.20000e-14  1.80000e-05  1.60000e-06     0.100000  1.10000e-10      0.00000  1.60000e-16
      11.5000  1.50000e-13  5.40000e-06  1.60000e-06     0.100000  8.00000e-10      0.00000  4.80000e-16
      12.5000  1.20000e-12  1.20000e-06  1.60000e-06     0.100000  5.00000e-09      0.00000  1.00000e-15
      13.5000  5.50000e-12  2.80000e-07  1.60000e-06     0.100000  2.20000e-08      0.00000  2.00000e-15
      14.5000  1.60000e-11  8.00000e-08  1.60000e-06     0.100000  7.20000e-08      0.00000  4.20000e-15
      15.5000  3.20000e-11  7.10000e-08  1.60000e-06     0.100000  2.00000e-07      0.00000  8.00000e-15
      16.5000  5.50000e-11  7.40000e-08  1.60000e-06     0.100000  4.70000e-07      0.00000  1.30000e-14
      17.5000  8.30000e-11  8.30000e-08  1.60000e-06     0.100000  9.70000e-07      0.00000  1.90000e-14
      18.5000  1.10000e-10  9.60000e-08  1.60000e-06     0.100000  1.70000e-06      0.00000  2.50000e-14
      19.5000  1.40000e-10  1.10000e-07  1.60000e-06     0.100000  2.80000e-06      0.00000  3.10000e-14
      20.5000  1.60000e-10  1.30000e-07  1.60000e-06     0.100000  4.20000e-06      0.00000  3.70000e-14
      21.5000  1.90000e-10  1.50000e-07  1.60000e-06     0.100000  5.80000e-06      0.00000  4.40000e-14
      22.5000  2.10000e-10  1.60000e-07  1.60000e-06     0.100000  7.70000e-06      0.00000  5.20000e-14
      23.5000  2.30000e-10  1.70000e-07  1.60000e-06     0.100000  9.90000e-06      0.00000  6.10000e-14
      24.5000  2.60000e-10  1.80000e-07  1.60000e-06     0.100000  1.20000e-05      0.00000  7.30000e-14
      25.5000  2.80000e-10  1.90000e-07  1.60000e-06     0.100000  1.50000e-05      0.00000  8.80000e-14
      26.5000  3.10000e-10  2.00000e-07  1.60000e-06     0.100000  1.80000e-05      0.00000  1.10000e-13
      27.5000  3.50000e-10  2.00000e-07  1.60000e-06     0.100000  2.10000e-05      0.00000  1.30000e-13
      28.5000  3.90000e-10  2.10000e-07  1.60000e-06     0.100000  2.50000e-05      0.00000  1.70000e-13
      29.5000  4.30000e-10  2.10000e-07  1.60000e-06     0.100000  2.90000e-05      0.00000  2.10000e-13
      30.5000  4.90000e-10  2.10000e-07  1.60000e-06     0.100000  3.40000e-05      0.00000  2.70000e-13
      31.5000  5.50000e-10  2.10000e-07  1.60000e-06     0.100000  3.90000e-05      0.00000  3.40000e-13
      32.5000  6.30000e-10  2.10000e-07  1.60000e-06     0.100000  4.40000e-05      0.00000  4.40000e-13
      33.5000  7.10000e-10  2.00000e-07  1.60000e-06     0.100000  5.00000e-05      0.00000  5.60000e-13
      34.5000  8.00000e-10  2.00000e-07  1.60000e-06     0.100000  5.70000e-05      0.00000  7.20000e-13
      35.5000  9.10000e-10  1.90000e-07  1.60000e-06     0.100000  6.50000e-05      0.00000  9.30000e-13
      36.5000  1.00000e-09  1.80000e-07  1.60000e-06     0.100000  7.30000e-05      0.00000  1.20000e-12
      37.5000  1.20000e-09  1.70000e-07  1.50000e-06     0.100000  8.20000e-05      0.00000  1.60000e-12
      38.5000  1.30000e-09  1.60000e-07  1.50000e-06     0.100000  9.10000e-05      0.00000  2.10000e-12
      39.5000  1.50000e-09  1.60000e-07  1.50000e-06    0.0990000  0.000100000      0.00000  2.70000e-12
      40.5000  1.60000e-09  1.60000e-07  1.50000e-06    0.0990000  0.000110000      0.00000  3.60000e-12
      41.5000  1.70000e-09  1.60000e-07  1.50000e-06    0.0990000  0.000130000      0.00000  4.80000e-12
      42.5000  1.90000e-09  1.60000e-07  1.50000e-06    0.0990000  0.000140000      0.00000  6.30000e-12
      43.5000  2.00000e-09  1.60000e-07  1.50000e-06    0.0990000  0.000160000      0.00000  8.30000e-12
      44.5000  2.20000e-09  1.60000e-07  1.40000e-06    0.0990000  0.000180000      0.00000  1.10000e-11
      45.5000  2.30000e-09  1.60000e-07  1.40000e-06    0.0990000  0.000200000      0.00000  1.40000e-11
      46.5000  2.40000e-09  1.60000e-07  1.40000e-06    0.0990000  0.000220000      0.00000  1.70000e-11
      47.5000  2.50000e-09  1.60000e-07  1.40000e-06    0.0990000  0.000240000      0.00000  2.10000e-11
      48.5000  2.40000e-09  1.60000e-07  1.30000e-06    0.0990000  0.000270000      0.00000  2.60000e-11
      49.5000  2.10000e-09  1.70000e-07  1.30000e-06    0.0990000  0.000300000      0.00000  3.20000e-11
      50.5000  1.60000e-09  1.70000e-07  1.30000e-06    0.0980000  0.000330000      0.00000  4.30000e-11
      51.5000  1.20000e-09  1.80000e-07  1.20000e-06    0.0980000  0.000370000      0.00000  6.10000e-11
      52.5000  8.20000e-10  1.80000e-07  1.20000e-06    0.0980000  0.000410000      0.00000  9.70000e-11
      53.5000  8.20000e-10  1.90000e-07  1.10000e-06    0.0980000  0.000450000      0.00000  1.50000e-10
      54.5000  1.30000e-09  1.80000e-07  1.10000e-06    0.0980000  0.000500000      0.00000  1.80000e-10
