    ALT(km)      O3          H2O          CH4           CO2            O2           N2O         OH  
     0.500000  3.30000e-20    0.0220000  1.70000e-06     0.100000  5.40000e-13      0.00000  2.70000e-17
      1.50000  5.00000e-20    0.0170000  1.60000e-06     0.100000  3.50000e-13      0.00000  5.30000e-17
      2.50000  7.40000e-20    0.0130000  1.60000e-06     0.100000  2.60000e-13      0.00000  8.60000e-17
      3.50000  1.20000e-19   0.00950000  1.60000e-06     0.100000  2.20000e-13      0.00000  1.30000e-16
      4.50000  2.30000e-19   0.00690000  1.60000e-06     0.100000  2.00000e-13      0.00000  1.80000e-16
      5.50000  5.20000e-19   0.00480000  1.60000e-06     0.100000  2.00000e-13      0.00000  2.50000e-16
      6.50000  1.00000e-18   0.00310000  1.60000e-06     0.100000  1.80000e-13      0.00000  3.10000e-16
      7.50000  1.70000e-18   0.00190000  1.60000e-06     0.100000  1.60000e-13      0.00000  3.70000e-16
      8.50000  3.60000e-18   0.00110000  1.60000e-06     0.100000  1.80000e-13      0.00000  4.30000e-16
      9.50000  3.70000e-17  0.000530000  1.60000e-06     0.100000  9.00000e-13      0.00000  5.00000e-16
      10.5000  1.70000e-15  0.000230000  1.60000e-06     0.100000  2.00000e-11      0.00000  7.20000e-16
      11.5000  1.10000e-13  7.60000e-05  1.60000e-06     0.100000  6.50000e-10      0.00000  2.80000e-15
      12.5000  2.30000e-12  2.30000e-05  1.60000e-06     0.100000  1.30000e-08      0.00000  8.00000e-15
      13.5000  1.50000e-11  6.70000e-06  1.60000e-06     0.100000  9.10000e-08      0.00000  1.10000e-14
      14.5000  4.60000e-11  1.90000e-06  1.60000e-06     0.100000  3.10000e-07      0.00000  1.50000e-14
      15.5000  9.90000e-11  4.60000e-07  1.60000e-06     0.100000  7.40000e-07      0.00000  2.10000e-14
      16.5000  1.80000e-10  1.10000e-07  1.60000e-06     0.100000  1.50000e-06      0.00000  2.90000e-14
      17.5000  2.50000e-10  7.60000e-08  1.60000e-06     0.100000  2.70000e-06      0.00000  3.70000e-14
      18.5000  3.30000e-10  8.10000e-08  1.60000e-06     0.100000  4.30000e-06      0.00000  4.60000e-14
      19.5000  4.00000e-10  9.80000e-08  1.60000e-06     0.100000  6.60000e-06      0.00000  5.50000e-14
      20.5000  4.80000e-10  1.20000e-07  1.60000e-06     0.100000  9.40000e-06      0.00000  6.60000e-14
      21.5000  5.50000e-10  1.50000e-07  1.60000e-06     0.100000  1.30000e-05      0.00000  7.70000e-14
      22.5000  6.20000e-10  1.70000e-07  1.60000e-06     0.100000  1.70000e-05      0.00000  9.10000e-14
      23.5000  6.90000e-10  2.10000e-07  1.60000e-06     0.100000  2.10000e-05      0.00000  1.10000e-13
      24.5000  7.60000e-10  2.50000e-07  1.60000e-06     0.100000  2.60000e-05      0.00000  1.30000e-13
      25.5000  8.30000e-10  2.90000e-07  1.60000e-06     0.100000  3.20000e-05      0.00000  1.50000e-13
      26.5000  9.10000e-10  3.30000e-07  1.60000e-06     0.100000  3.80000e-05      0.00000  1.90000e-13
      27.5000  9.90000e-10  3.60000e-07  1.60000e-06     0.100000  4.60000e-05      0.00000  2.30000e-13
      28.5000  1.10000e-09  3.90000e-07  1.60000e-06     0.100000  5.40000e-05      0.00000  2.80000e-13
      29.5000  1.20000e-09  4.20000e-07  1.60000e-06     0.100000  6.20000e-05      0.00000  3.40000e-13
      30.5000  1.30000e-09  4.40000e-07  1.60000e-06     0.100000  7.20000e-05      0.00000  4.20000e-13
      31.5000  1.40000e-09  4.50000e-07  1.60000e-06     0.100000  8.30000e-05      0.00000  5.30000e-13
      32.5000  1.50000e-09  4.70000e-07  1.60000e-06     0.100000  9.60000e-05      0.00000  6.60000e-13
      33.5000  1.70000e-09  4.70000e-07  1.60000e-06     0.100000  0.000110000      0.00000  8.20000e-13
      34.5000  1.80000e-09  4.80000e-07  1.50000e-06     0.100000  0.000120000      0.00000  1.00000e-12
      35.5000  2.00000e-09  4.80000e-07  1.50000e-06     0.100000  0.000140000      0.00000  1.30000e-12
      36.5000  2.10000e-09  4.80000e-07  1.50000e-06    0.0990000  0.000160000      0.00000  1.60000e-12
      37.5000  2.30000e-09  4.70000e-07  1.50000e-06    0.0990000  0.000180000      0.00000  2.00000e-12
