# Formed from prebioticearth_atmosphere_models.py
# Z (cm)	T (K)	DEN (cm**-3)	P (bar)
6.3635312e+05	2.2560582e+02	1.3452862e+19	4.1903579e-01
6.4280180e+05	2.2497353e+02	1.3356279e+19	4.1486140e-01
6.4923239e+05	2.2434302e+02	1.3260398e+19	4.1072887e-01
6.5564497e+05	2.2371427e+02	1.3165213e+19	4.0663775e-01
6.6203957e+05	2.2308728e+02	1.3070720e+19	4.0258762e-01
6.6841625e+05	2.2246205e+02	1.2976911e+19	3.9857805e-01
6.7477506e+05	2.2183857e+02	1.2883783e+19	3.9460863e-01
6.8111605e+05	2.2121684e+02	1.2791330e+19	3.9067893e-01
6.8743927e+05	2.2059685e+02	1.2699546e+19	3.8678855e-01
6.9374476e+05	2.1997860e+02	1.2608426e+19	3.8293708e-01
7.0003259e+05	2.1936208e+02	1.2517966e+19	3.7912412e-01
7.0630279e+05	2.1874729e+02	1.2428159e+19	3.7534928e-01
7.1255542e+05	2.1813422e+02	1.2339002e+19	3.7161217e-01
7.1879052e+05	2.1752287e+02	1.2250488e+19	3.6791240e-01
7.2500815e+05	2.1691323e+02	1.2162614e+19	3.6424959e-01
7.3120835e+05	2.1630531e+02	1.2075374e+19	3.6062336e-01
7.3739118e+05	2.1569908e+02	1.1988763e+19	3.5703334e-01
7.4355668e+05	2.1509456e+02	1.1902777e+19	3.5347917e-01
7.4970490e+05	2.1449173e+02	1.1817411e+19	3.4996047e-01
7.5583589e+05	2.1389059e+02	1.1732660e+19	3.4647688e-01
7.6194969e+05	2.1329113e+02	1.1648520e+19	3.4302806e-01
7.6804636e+05	2.1269335e+02	1.1564986e+19	3.3961364e-01
7.7412595e+05	2.1209725e+02	1.1482053e+19	3.3623328e-01
7.8018849e+05	2.1150282e+02	1.1399717e+19	3.3288664e-01
7.8623404e+05	2.1091006e+02	1.1317975e+19	3.2957337e-01
7.9226265e+05	2.1031895e+02	1.1236820e+19	3.2629314e-01
7.9827437e+05	2.0972951e+02	1.1156249e+19	3.2304561e-01
8.0426924e+05	2.0914171e+02	1.1076258e+19	3.1983046e-01
8.1024730e+05	2.0855557e+02	1.0996841e+19	3.1664735e-01
8.1620861e+05	2.0797106e+02	1.0917996e+19	3.1349597e-01
8.2215321e+05	2.0738820e+02	1.0839718e+19	3.1037600e-01
8.2808115e+05	2.0680696e+02	1.0762002e+19	3.0728711e-01
8.3399248e+05	2.0622736e+02	1.0684845e+19	3.0422901e-01
8.3988724e+05	2.0564938e+02	1.0608242e+19	3.0120137e-01
8.4576548e+05	2.0507302e+02	1.0532189e+19	2.9820389e-01
8.5162725e+05	2.0449828e+02	1.0456683e+19	2.9523627e-01
8.5747259e+05	2.0392515e+02	1.0381719e+19	2.9229821e-01
8.6330154e+05	2.0335362e+02	1.0307293e+19	2.8938942e-01
8.6911416e+05	2.0278369e+02	1.0233402e+19	2.8650960e-01
8.7491049e+05	2.0221537e+02	1.0160041e+19	2.8365846e-01
8.8069057e+05	2.0164863e+02	1.0087207e+19	2.8083571e-01
8.8645445e+05	2.0108349e+02	1.0014896e+19	2.7804107e-01
8.9220218e+05	2.0051992e+02	9.9431035e+18	2.7527426e-01
8.9793381e+05	1.9995794e+02	9.8718264e+18	2.7253500e-01
9.0364936e+05	1.9939753e+02	9.8010609e+18	2.6982301e-01
9.0934890e+05	1.9883869e+02	9.7308032e+18	2.6713802e-01
9.1503247e+05	1.9828142e+02	9.6610495e+18	2.6447976e-01
9.2070010e+05	1.9772571e+02	9.5917964e+18	2.6184797e-01
9.2635185e+05	1.9717156e+02	9.5230401e+18	2.5924238e-01
9.3198777e+05	1.9661896e+02	9.4547771e+18	2.5666273e-01
9.3760788e+05	1.9606791e+02	9.3870037e+18	2.5410875e-01
9.4321225e+05	1.9551841e+02	9.3197165e+18	2.5158020e-01
9.4880091e+05	1.9497044e+02	9.2529120e+18	2.4907682e-01
9.5437390e+05	1.9442401e+02	9.1865865e+18	2.4659836e-01
9.5993128e+05	1.9387911e+02	9.1207368e+18	2.4414456e-01
9.6547308e+05	1.9333574e+02	9.0553594e+18	2.4171519e-01
9.7099935e+05	1.9279389e+02	8.9904508e+18	2.3931000e-01
9.7651013e+05	1.9225356e+02	8.9260077e+18	2.3692875e-01
9.8200547e+05	1.9171475e+02	8.8620267e+18	2.3457120e-01
9.8748540e+05	1.9117744e+02	8.7985045e+18	2.3223711e-01
9.9294998e+05	1.9064164e+02	8.7354378e+18	2.2992625e-01
9.9839924e+05	1.9010734e+02	8.6728234e+18	2.2763839e-01
1.0038332e+06	1.8957454e+02	8.6106579e+18	2.2537330e-01
1.0092520e+06	1.8904323e+02	8.5489381e+18	2.2313075e-01
1.0146556e+06	1.8851342e+02	8.4876608e+18	2.2091052e-01
1.0200440e+06	1.8798508e+02	8.4268229e+18	2.1871238e-01
1.0254173e+06	1.8745823e+02	8.3664212e+18	2.1653612e-01
1.0307756e+06	1.8693285e+02	8.3064525e+18	2.1438152e-01
1.0361188e+06	1.8640895e+02	8.2469138e+18	2.1224835e-01
1.0414471e+06	1.8588652e+02	8.1878019e+18	2.1013642e-01
1.0467605e+06	1.8536554e+02	8.1291138e+18	2.0804550e-01
1.0520589e+06	1.8484603e+02	8.0708464e+18	2.0597539e-01
1.0573425e+06	1.8432798e+02	8.0129967e+18	2.0392588e-01
1.0626113e+06	1.8381137e+02	7.9555618e+18	2.0189676e-01
1.0678653e+06	1.8329622e+02	7.8985386e+18	1.9988784e-01
1.0731046e+06	1.8278251e+02	7.8419241e+18	1.9789890e-01
1.0783293e+06	1.8227024e+02	7.7857156e+18	1.9592976e-01
1.0835392e+06	1.8175940e+02	7.7299099e+18	1.9398021e-01
1.0887346e+06	1.8125000e+02	7.6745043e+18	1.9205006e-01
1.0939154e+06	1.8074202e+02	7.6194958e+18	1.9013912e-01
1.0990817e+06	1.8023547e+02	7.5648817e+18	1.8824719e-01
