# Formed from form_atmospheric_profiles_paper_model.py
# Z (cm)	T (K)	DEN (cm**-3)	P (bar)
0.0000000e+00	2.8800000e+02	2.5149039e+19	1.0000000e+00
1.0000000e+04	2.8800000e+02	2.4845812e+19	9.8794279e-01
2.0000000e+04	2.8800000e+02	2.4546241e+19	9.7603096e-01
3.0000000e+04	2.8800000e+02	2.4250282e+19	9.6426275e-01
4.0000000e+04	2.8800000e+02	2.3957891e+19	9.5263644e-01
5.0000000e+04	2.8800000e+02	2.3669026e+19	9.4115030e-01
6.0000000e+04	2.8800000e+02	2.3383644e+19	9.2980266e-01
7.0000000e+04	2.8800000e+02	2.3101702e+19	9.1859184e-01
8.0000000e+04	2.8800000e+02	2.2823160e+19	9.0751619e-01
9.0000000e+04	2.8800000e+02	2.2547977e+19	8.9657408e-01
1.0000000e+05	2.8800000e+02	2.2276111e+19	8.8576390e-01
1.1000000e+05	2.8800000e+02	2.2007523e+19	8.7508406e-01
1.2000000e+05	2.8800000e+02	2.1742174e+19	8.6453299e-01
1.3000000e+05	2.8800000e+02	2.1480024e+19	8.5410913e-01
1.4000000e+05	2.8800000e+02	2.1221035e+19	8.4381096e-01
1.5000000e+05	2.8800000e+02	2.0965169e+19	8.3363696e-01
1.6000000e+05	2.8800000e+02	2.0712387e+19	8.2358563e-01
1.7000000e+05	2.8800000e+02	2.0462654e+19	8.1365548e-01
1.8000000e+05	2.8800000e+02	2.0215931e+19	8.0384507e-01
1.9000000e+05	2.8800000e+02	1.9972184e+19	7.9415295e-01
2.0000000e+05	2.8800000e+02	1.9731375e+19	7.8457768e-01
2.1000000e+05	2.8800000e+02	1.9493470e+19	7.7511786e-01
2.2000000e+05	2.8800000e+02	1.9258433e+19	7.6577211e-01
2.3000000e+05	2.8800000e+02	1.9026230e+19	7.5653903e-01
2.4000000e+05	2.8800000e+02	1.8796827e+19	7.4741729e-01
2.5000000e+05	2.8800000e+02	1.8570189e+19	7.3840552e-01
2.6000000e+05	2.8800000e+02	1.8346285e+19	7.2950241e-01
2.7000000e+05	2.8800000e+02	1.8125080e+19	7.2070665e-01
2.8000000e+05	2.8800000e+02	1.7906542e+19	7.1201694e-01
2.9000000e+05	2.8800000e+02	1.7690639e+19	7.0343201e-01
3.0000000e+05	2.8800000e+02	1.7477339e+19	6.9495058e-01
3.1000000e+05	2.8800000e+02	1.7266612e+19	6.8657142e-01
3.2000000e+05	2.8800000e+02	1.7058424e+19	6.7829328e-01
3.3000000e+05	2.8800000e+02	1.6852747e+19	6.7011496e-01
3.4000000e+05	2.8800000e+02	1.6649550e+19	6.6203525e-01
3.5000000e+05	2.8800000e+02	1.6448803e+19	6.5405295e-01
3.6000000e+05	2.8800000e+02	1.6250477e+19	6.4616690e-01
3.7000000e+05	2.8800000e+02	1.6054541e+19	6.3837593e-01
3.8000000e+05	2.8800000e+02	1.5860968e+19	6.3067890e-01
3.9000000e+05	2.8800000e+02	1.5669729e+19	6.2307467e-01
4.0000000e+05	2.8800000e+02	1.5480796e+19	6.1556213e-01
4.1000000e+05	2.8800000e+02	1.5294141e+19	6.0814017e-01
4.2000000e+05	2.8800000e+02	1.5109736e+19	6.0080770e-01
4.3000000e+05	2.8800000e+02	1.4927555e+19	5.9356364e-01
4.4000000e+05	2.8800000e+02	1.4747571e+19	5.8640692e-01
4.5000000e+05	2.8800000e+02	1.4569756e+19	5.7933649e-01
4.6000000e+05	2.8800000e+02	1.4394086e+19	5.7235131e-01
4.7000000e+05	2.8800000e+02	1.4220533e+19	5.6545035e-01
4.8000000e+05	2.8800000e+02	1.4049073e+19	5.5863260e-01
4.9000000e+05	2.8800000e+02	1.3879681e+19	5.5189705e-01
5.0000000e+05	2.8800000e+02	1.3712330e+19	5.4524271e-01
5.1000000e+05	2.8800000e+02	1.3546998e+19	5.3866861e-01
5.2000000e+05	2.8800000e+02	1.3383659e+19	5.3217377e-01
5.3000000e+05	2.8800000e+02	1.3222290e+19	5.2575724e-01
5.4000000e+05	2.8800000e+02	1.3062866e+19	5.1941808e-01
5.5000000e+05	2.8800000e+02	1.2905364e+19	5.1315535e-01
5.6000000e+05	2.8800000e+02	1.2749761e+19	5.0696813e-01
5.7000000e+05	2.8800000e+02	1.2596035e+19	5.0085551e-01
5.8000000e+05	2.8800000e+02	1.2444162e+19	4.9481659e-01
5.9000000e+05	2.8800000e+02	1.2294120e+19	4.8885048e-01
6.0000000e+05	2.8800000e+02	1.2145887e+19	4.8295631e-01
6.1000000e+05	2.8800000e+02	1.1999442e+19	4.7713321e-01
6.2000000e+05	2.8800000e+02	1.1854762e+19	4.7138031e-01
6.3000000e+05	2.8800000e+02	1.1711827e+19	4.6569678e-01
6.4000000e+05	2.8800000e+02	1.1570615e+19	4.6008178e-01
6.5000000e+05	2.8800000e+02	1.1431105e+19	4.5453448e-01
6.6000000e+05	2.8800000e+02	1.1293278e+19	4.4905406e-01
6.7000000e+05	2.8800000e+02	1.1157113e+19	4.4363973e-01
6.8000000e+05	2.8800000e+02	1.1022589e+19	4.3829067e-01
6.9000000e+05	2.8800000e+02	1.0889688e+19	4.3300611e-01
7.0000000e+05	2.8800000e+02	1.0758388e+19	4.2778526e-01
7.1000000e+05	2.8800000e+02	1.0628672e+19	4.2262737e-01
7.2000000e+05	2.8800000e+02	1.0500520e+19	4.1753166e-01
7.3000000e+05	2.8800000e+02	1.0373913e+19	4.1249740e-01
7.4000000e+05	2.8800000e+02	1.0248833e+19	4.0752383e-01
7.5000000e+05	2.8800000e+02	1.0125261e+19	4.0261023e-01
7.6000000e+05	2.8800000e+02	1.0003178e+19	3.9775588e-01
7.7000000e+05	2.8800000e+02	9.8825678e+18	3.9296005e-01
7.8000000e+05	2.8800000e+02	9.7634116e+18	3.8822205e-01
7.9000000e+05	2.8800000e+02	9.6456921e+18	3.8354118e-01
8.0000000e+05	2.8800000e+02	9.5293920e+18	3.7891674e-01
8.1000000e+05	2.8800000e+02	9.4144942e+18	3.7434806e-01
8.2000000e+05	2.8800000e+02	9.3009816e+18	3.6983447e-01
8.3000000e+05	2.8800000e+02	9.1888378e+18	3.6537530e-01
8.4000000e+05	2.8800000e+02	9.0780461e+18	3.6096990e-01
