Gary Hansen's new data on complex index of refraction
for CO2 ice. Supercedes Warren 1986

lambda-micron        nr               ni
1.3140760e+000  1.4041513e+000  1.8829026e-009
1.3142000e+000  1.4041506e+000  1.8936430e-009
1.3144000e+000  1.4041495e+000  1.9109804e-009
1.3144320e+000  1.4041493e+000  1.9174075e-009
1.3145080e+000  1.4041489e+000  1.9329999e-009
1.3146000e+000  1.4041483e+000  1.9520701e-009
1.3148000e+000  1.4041471e+000  2.0156673e-009
1.3148510e+000  1.4041468e+000  2.0367766e-009
1.3148640e+000  1.4041468e+000  2.0423423e-009
1.3149400e+000  1.4041463e+000  2.0764682e-009
1.3150000e+000  1.4041459e+000  2.1034566e-009
1.3152000e+000  1.4041447e+000  2.1787133e-009
1.3152960e+000  1.4041442e+000  2.2120520e-009
1.3153730e+000  1.4041437e+000  2.2386641e-009
1.3154000e+000  1.4041435e+000  2.2483402e-009
1.3156000e+000  1.4041425e+000  2.3319123e-009
1.3156200e+000  1.4041424e+000  2.3424171e-009
1.3157160e+000  1.4041419e+000  2.3917977e-009
1.3157290e+000  1.4041418e+000  2.3989411e-009
1.3158050e+000  1.4041414e+000  2.4411725e-009
1.3160000e+000  1.4041405e+000  2.5728581e-009
1.3161620e+000  1.4041396e+000  2.7194922e-009
1.3162000e+000  1.4041395e+000  2.7537159e-009
1.3162390e+000  1.4041393e+000  2.8497420e-009
1.3163000e+000  1.4041390e+000  3.0029107e-009
1.3164000e+000  1.4041385e+000  3.3878020e-009
1.3164120e+000  1.4041384e+000  3.4666100e-009
1.3164500e+000  1.4041382e+000  3.7210668e-009
1.3164860e+000  1.4041380e+000  4.0155515e-009
1.3165000e+000  1.4041380e+000  4.1380630e-009
1.3165500e+000  1.4041377e+000  4.6610111e-009
1.3165850e+000  1.4041375e+000  5.0944658e-009
1.3166000e+000  1.4041375e+000  5.2772457e-009
1.3166500e+000  1.4041372e+000  5.9994553e-009
1.3166820e+000  1.4041370e+000  6.5277882e-009
1.3167000e+000  1.4041370e+000  6.8145545e-009
1.3167590e+000  1.4041367e+000  7.9274601e-009
1.3168000e+000  1.4041365e+000  8.8121144e-009
1.3169000e+000  1.4041360e+000  1.1120906e-008
1.3169320e+000  1.4041358e+000  1.1911354e-008
1.3170000e+000  1.4041355e+000  1.3589874e-008
1.3170290e+000  1.4041353e+000  1.4357352e-008
1.3171060e+000  1.4041349e+000  1.6362196e-008
1.3172000e+000  1.4041342e+000  1.8978609e-008
1.3172790e+000  1.4041336e+000  2.1381305e-008
1.3173000e+000  1.4041334e+000  2.2017948e-008
1.3173500e+000  1.4041330e+000  2.3680361e-008
1.3173660e+000  1.4041330e+000  2.4296016e-008
1.3173760e+000  1.4041330e+000  2.4704003e-008
1.3174000e+000  1.4041330e+000  2.5613375e-008
1.3174530e+000  1.4041330e+000  2.7974345e-008
1.3175000e+000  1.4041328e+000  3.0412950e-008
1.3175270e+000  1.4041326e+000  3.2043920e-008
1.3175400e+000  1.4041326e+000  3.2818004e-008
1.3175500e+000  1.4041325e+000  3.3496615e-008
1.3175800e+000  1.4041324e+000  3.5554528e-008
1.3176000e+000  1.4041323e+000  3.6996773e-008
1.3176140e+000  1.4041322e+000  3.8184095e-008
1.3176260e+000  1.4041321e+000  3.9305325e-008
1.3176370e+000  1.4041321e+000  4.0391943e-008
1.3176500e+000  1.4041320e+000  4.1733440e-008
1.3176750e+000  1.4041318e+000  4.4839055e-008
1.3177000e+000  1.4041315e+000  4.8389391e-008
1.3177130e+000  1.4041314e+000  5.0563622e-008
1.3177250e+000  1.4041313e+000  5.2513452e-008
1.3177440e+000  1.4041311e+000  5.5991458e-008
1.3177570e+000  1.4041310e+000  5.8408071e-008
1.3177750e+000  1.4041308e+000  6.2018329e-008
1.3177880e+000  1.4041307e+000  6.4720296e-008
1.3178000e+000  1.4041306e+000  6.7447432e-008
1.3178110e+000  1.4041304e+000  6.9977413e-008
1.3178250e+000  1.4041303e+000  7.3407378e-008
1.3178440e+000  1.4041301e+000  7.8137056e-008
1.3178540e+000  1.4041300e+000  8.0975472e-008
1.3178750e+000  1.4041300e+000  8.6837074e-008
1.3178870e+000  1.4041300e+000  9.0528385e-008
1.3179000e+000  1.4041300e+000  9.4490412e-008
1.3179180e+000  1.4041300e+000  1.0033647e-007
1.3179300e+000  1.4041300e+000  1.0446222e-007
1.3179410e+000  1.4041300e+000  1.0804574e-007
1.3179500e+000  1.4041300e+000  1.1114041e-007
1.3179610e+000  1.4041300e+000  1.1540996e-007
1.3179740e+000  1.4041298e+000  1.2004684e-007
1.3179840e+000  1.4041297e+000  1.2406472e-007
1.3180000e+000  1.4041296e+000  1.2998164e-007
1.3180170e+000  1.4041294e+000  1.3710497e-007
1.3180280e+000  1.4041293e+000  1.4176302e-007
1.3180500e+000  1.4041291e+000  1.5299879e-007
1.3180610e+000  1.4041290e+000  1.5953459e-007
1.3180710e+000  1.4041289e+000  1.6618575e-007
1.3180920e+000  1.4041288e+000  1.8057936e-007
1.3181040e+000  1.4041288e+000  1.9016808e-007
1.3181150e+000  1.4041287e+000  1.9860300e-007
1.3181350e+000  1.4041286e+000  2.1578763e-007
1.3181480e+000  1.4041285e+000  2.2667785e-007
1.3181580e+000  1.4041285e+000  2.3622507e-007
1.3181800e+000  1.4041284e+000  2.5611757e-007
1.3181910e+000  1.4041283e+000  2.6671443e-007
1.3182020e+000  1.4041283e+000  2.7694433e-007
1.3182230e+000  1.4041282e+000  2.9812823e-007
1.3182350e+000  1.4041281e+000  3.0921906e-007
1.3182500e+000  1.4041280e+000  3.2489509e-007
1.3182670e+000  1.4041280e+000  3.4189378e-007
1.3182780e+000  1.4041280e+000  3.5358308e-007
1.3182890e+000  1.4041280e+000  3.6480049e-007
1.3183000e+000  1.4041280e+000  3.7702520e-007
1.3183100e+000  1.4041280e+000  3.8727755e-007
1.3183210e+000  1.4041280e+000  3.9831717e-007
1.3183320e+000  1.4041280e+000  4.0802462e-007
1.3183430e+000  1.4041280e+000  4.1778470e-007
1.3183540e+000  1.4041280e+000  4.2653778e-007
1.3183650e+000  1.4041279e+000  4.3429435e-007
1.3183760e+000  1.4041278e+000  4.4062423e-007
1.3183870e+000  1.4041276e+000  4.4602048e-007
1.3183970e+000  1.4041275e+000  4.5034635e-007
1.3184080e+000  1.4041273e+000  4.5364446e-007
1.3184190e+000  1.4041272e+000  4.5576755e-007
1.3184300e+000  1.4041270e+000  4.5688348e-007
1.3184410e+000  1.4041270e+000  4.5687680e-007
1.3184520e+000  1.4041270e+000  4.5577896e-007
1.3184620e+000  1.4041270e+000  4.5356861e-007
1.3184750e+000  1.4041270e+000  4.4979593e-007
1.3184840e+000  1.4041270e+000  4.4606379e-007
1.3184950e+000  1.4041270e+000  4.4029677e-007
1.3185060e+000  1.4041270e+000  4.3326009e-007
1.3185170e+000  1.4041270e+000  4.2479631e-007
1.3185280e+000  1.4041270e+000  4.1636388e-007
1.3185390e+000  1.4041270e+000  4.0651480e-007
1.3185500e+000  1.4041270e+000  3.9639275e-007
1.3185710e+000  1.4041269e+000  3.7522448e-007
1.3185820e+000  1.4041269e+000  3.6355946e-007
1.3186000e+000  1.4041268e+000  3.4482377e-007
1.3186150e+000  1.4041267e+000  3.2877309e-007
1.3186260e+000  1.4041267e+000  3.1684496e-007
1.3186360e+000  1.4041266e+000  3.0549354e-007
1.3186460e+000  1.4041266e+000  2.9564250e-007
1.3186580e+000  1.4041265e+000  2.8301096e-007
1.3186690e+000  1.4041264e+000  2.7185859e-007
1.3186800e+000  1.4041264e+000  2.6137763e-007
1.3186910e+000  1.4041263e+000  2.5071810e-007
1.3187020e+000  1.4041263e+000  2.4063555e-007
1.3187130e+000  1.4041262e+000  2.3064729e-007
1.3187230e+000  1.4041262e+000  2.2117290e-007
1.3187340e+000  1.4041261e+000  2.1162506e-007
1.3187450e+000  1.4041261e+000  2.0255981e-007
1.3187560e+000  1.4041260e+000  1.9364132e-007
1.3187670e+000  1.4041259e+000  1.8532086e-007
1.3187890e+000  1.4041257e+000  1.6963454e-007
1.3188000e+000  1.4041256e+000  1.6207979e-007
1.3188100e+000  1.4041255e+000  1.5605703e-007
1.3188250e+000  1.4041253e+000  1.4761043e-007
1.3188430e+000  1.4041252e+000  1.3826138e-007
1.3188540e+000  1.4041251e+000  1.3304647e-007
1.3188740e+000  1.4041250e+000  1.2397008e-007
1.3188870e+000  1.4041250e+000  1.1884956e-007
1.3189000e+000  1.4041250e+000  1.1359250e-007
1.3189180e+000  1.4041250e+000  1.0724420e-007
1.3189300e+000  1.4041250e+000  1.0305529e-007
1.3189390e+000  1.4041250e+000  1.0002271e-007
1.3189500e+000  1.4041250e+000  9.6685861e-008
1.3189610e+000  1.4041250e+000  9.3374143e-008
1.3189750e+000  1.4041249e+000  8.9407620e-008
1.3190000e+000  1.4041246e+000  8.2709546e-008
1.3190130e+000  1.4041245e+000  7.9469082e-008
1.3190250e+000  1.4041244e+000  7.6644156e-008
1.3190480e+000  1.4041241e+000  7.1513680e-008
1.3190610e+000  1.4041240e+000  6.8934282e-008
1.3190700e+000  1.4041240e+000  6.7074715e-008
1.3190920e+000  1.4041240e+000  6.2953662e-008
1.3191040e+000  1.4041240e+000  6.0800230e-008
1.3191150e+000  1.4041240e+000  5.9027763e-008
1.3191350e+000  1.4041240e+000  5.5688404e-008
1.3191500e+000  1.4041240e+000  5.3421585e-008
1.3191790e+000  1.4041238e+000  4.9318161e-008
1.3191910e+000  1.4041237e+000  4.7638964e-008
1.3192000e+000  1.4041236e+000  4.6488723e-008
1.3192310e+000  1.4041233e+000  4.3036989e-008
1.3192500e+000  1.4041231e+000  4.0895964e-008
1.3192660e+000  1.4041230e+000  3.9305954e-008
1.3192780e+000  1.4041228e+000  3.8128382e-008
1.3193000e+000  1.4041226e+000  3.6117476e-008
1.3193500e+000  1.4041221e+000  3.2490372e-008
1.3193650e+000  1.4041220e+000  3.1619310e-008
1.3194000e+000  1.4041218e+000  2.9671450e-008
1.3194520e+000  1.4041216e+000  2.7219851e-008
1.3194630e+000  1.4041215e+000  2.6763330e-008
1.3195000e+000  1.4041213e+000  2.5195344e-008
1.3195400e+000  1.4041211e+000  2.3703977e-008
1.3196000e+000  1.4041210e+000  2.1445230e-008
1.3196270e+000  1.4041210e+000  2.0517358e-008
1.3197000e+000  1.4041209e+000  1.7964446e-008
1.3197140e+000  1.4041208e+000  1.7535106e-008
1.3198000e+000  1.4041200e+000  1.4847575e-008
1.3198120e+000  1.4041200e+000  1.4525276e-008
1.3198880e+000  1.4041200e+000  1.2400237e-008
1.3199000e+000  1.4041199e+000  1.2066341e-008
1.3199500e+000  1.4041193e+000  1.0812641e-008
1.3199620e+000  1.4041191e+000  1.0510226e-008
1.3200000e+000  1.4041190e+000  9.6000224e-009
1.3200580e+000  1.4041186e+000  8.3247550e-009
1.3201000e+000  1.4041182e+000  7.4868241e-009
1.3201500e+000  1.4041179e+000  6.6702063e-009
1.3201600e+000  1.4041178e+000  6.5304286e-009
1.3202000e+000  1.4041176e+000  5.9840088e-009
1.3202370e+000  1.4041174e+000  5.5719166e-009
1.3202500e+000  1.4041174e+000  5.4209972e-009
1.3203000e+000  1.4041171e+000  4.9553392e-009
1.3204000e+000  1.4041166e+000  4.1969745e-009
1.3204110e+000  1.4041165e+000  4.1286057e-009
1.3205000e+000  1.4041161e+000  3.5747863e-009
1.3205090e+000  1.4041161e+000  3.5333030e-009
1.3205850e+000  1.4041157e+000  3.1800926e-009
1.3206000e+000  1.4041156e+000  3.1127661e-009
1.3207000e+000  1.4041151e+000  2.7876185e-009
1.3209300e+000  1.4041139e+000  2.5970026e-009
1.3210000e+000  1.4041135e+000  2.5415307e-009
1.3213000e+000  1.4041120e+000  2.3436979e-009
1.3213820e+000  1.4041115e+000  2.3018877e-009
1.3215000e+000  1.4041110e+000  2.2420459e-009
1.3218030e+000  1.4041093e+000  2.1242260e-009
1.3220000e+000  1.4041080e+000  2.0825673e-009
1.3222000e+000  1.4041069e+000  1.9862928e-009
1.3222560e+000  1.4041066e+000  1.9778540e-009
1.3223320e+000  1.4041062e+000  1.9662874e-009
1.3225000e+000  1.4041052e+000  1.9411740e-009
1.3226770e+000  1.4041043e+000  1.9286980e-009
1.3230000e+000  1.4041025e+000  1.9163247e-009
1.3231310e+000  1.4041018e+000  1.9113551e-009
1.3240070e+000  1.4040971e+000  1.8789050e-009
1.3240840e+000  1.4040966e+000  1.8760640e-009
1.3243330e+000  1.4040953e+000  1.8670374e-009
1.3244280e+000  1.4040948e+000  1.8636933e-009
1.3248840e+000  1.4040923e+000  1.8598014e-009
1.3250000e+000  1.4040917e+000  1.8586990e-009
1.3253060e+000  1.4040900e+000  1.8558588e-009
1.3257630e+000  1.4040875e+000  1.8587143e-009
1.3258400e+000  1.4040871e+000  1.8591388e-009
1.3260000e+000  1.4040863e+000  1.8598907e-009
1.3261850e+000  1.4040853e+000  1.8607834e-009
1.3270000e+000  1.4040808e+000  1.8750213e-009
1.3270650e+000  1.4040805e+000  1.8759579e-009
1.3275000e+000  1.4040781e+000  1.8875593e-009
1.3275240e+000  1.4040780e+000  1.8882273e-009
1.3276000e+000  1.4040776e+000  1.8899201e-009
1.3279460e+000  1.4040757e+000  1.8973872e-009
1.3280000e+000  1.4040754e+000  1.8988382e-009
1.3290000e+000  1.4040700e+000  1.9203621e-009
1.3292890e+000  1.4040684e+000  1.9241647e-009
1.3293660e+000  1.4040680e+000  1.9250167e-009
1.3297110e+000  1.4040661e+000  1.9283733e-009
1.3300000e+000  1.4040646e+000  1.9297449e-009
1.3301730e+000  1.4040636e+000  1.9303135e-009
1.3310000e+000  1.4040590e+000  1.9322550e-009
1.3310590e+000  1.4040587e+000  1.9323407e-009
1.3311360e+000  1.4040583e+000  1.9326643e-009
1.3314820e+000  1.4040563e+000  1.9341203e-009
1.3319460e+000  1.4040538e+000  1.9338404e-009
1.3320000e+000  1.4040535e+000  1.9340248e-009
1.3325000e+000  1.4040507e+000  1.9369775e-009
1.3328340e+000  1.4040488e+000  1.9400086e-009
1.3329110e+000  1.4040484e+000  1.9408631e-009
1.3330000e+000  1.4040479e+000  1.9420535e-009
1.3331620e+000  1.4040470e+000  1.9444113e-009
1.3332570e+000  1.4040465e+000  1.9459291e-009
1.3340000e+000  1.4040426e+000  1.9517906e-009
1.3346130e+000  1.4040393e+000  1.9619273e-009
1.3350000e+000  1.4040373e+000  1.9706764e-009
1.3350370e+000  1.4040371e+000  1.9715809e-009
1.3359280e+000  1.4040324e+000  1.9814015e-009
1.3360000e+000  1.4040320e+000  1.9811894e-009
1.3363970e+000  1.4040299e+000  1.9811400e-009
1.3364750e+000  1.4040295e+000  1.9813620e-009
1.3368210e+000  1.4040276e+000  1.9827260e-009
1.3370000e+000  1.4040267e+000  1.9813956e-009
1.3375000e+000  1.4040240e+000  1.9795821e-009
1.3380000e+000  1.4040214e+000  1.9803221e-009
1.3381860e+000  1.4040204e+000  1.9811299e-009
1.3386100e+000  1.4040181e+000  1.9842076e-009
1.3390000e+000  1.4040161e+000  1.9813760e-009
1.3399800e+000  1.4040109e+000  1.9795205e-009
1.3400000e+000  1.4040108e+000  1.9795501e-009
1.3400580e+000  1.4040105e+000  1.9797424e-009
1.3404050e+000  1.4040086e+000  1.9810017e-009
1.3410000e+000  1.4040055e+000  1.9734507e-009
1.3413030e+000  1.4040039e+000  1.9703743e-009
1.3417790e+000  1.4040014e+000  1.9659483e-009
1.3418570e+000  1.4040009e+000  1.9654219e-009
1.3420000e+000  1.4040002e+000  1.9644566e-009
1.3421090e+000  1.4039996e+000  1.9637618e-009
1.3422040e+000  1.4039991e+000  1.9631531e-009
1.3422170e+000  1.4039990e+000  1.9632789e-009
1.3425000e+000  1.4039975e+000  1.9647612e-009
1.3425770e+000  1.4039971e+000  1.9651944e-009
1.3426000e+000  1.4039970e+000  1.9653349e-009
1.3426540e+000  1.4039967e+000  1.9674440e-009
1.3426800e+000  1.4039966e+000  1.9685506e-009
1.3428000e+000  1.4039960e+000  1.9736419e-009
1.3429380e+000  1.4039952e+000  1.9910505e-009
1.3430000e+000  1.4039949e+000  1.9991578e-009
1.3431050e+000  1.4039943e+000  2.0228279e-009
1.3432000e+000  1.4039938e+000  2.0396456e-009
1.3433000e+000  1.4039933e+000  2.3135592e-009
1.3434000e+000  1.4039928e+000  2.7707476e-009
1.3434660e+000  1.4039924e+000  3.2180867e-009
1.3434800e+000  1.4039924e+000  3.3128431e-009
1.3435000e+000  1.4039922e+000  3.4529476e-009
1.3435560e+000  1.4039919e+000  3.9668267e-009
1.3435700e+000  1.4039919e+000  4.0965595e-009
1.3435820e+000  1.4039918e+000  4.2140999e-009
1.3436000e+000  1.4039917e+000  4.3788136e-009
1.3436500e+000  1.4039915e+000  4.9744378e-009
1.3436600e+000  1.4039914e+000  5.1288746e-009
1.3437000e+000  1.4039912e+000  5.7392668e-009
1.3437360e+000  1.4039910e+000  6.4778868e-009
1.3437500e+000  1.4039909e+000  6.7695585e-009
1.3437820e+000  1.4039907e+000  7.6060566e-009
1.3438000e+000  1.4039906e+000  8.1060852e-009
1.3438270e+000  1.4039904e+000  9.0019638e-009
1.3438410e+000  1.4039903e+000  9.4760133e-009
1.3438500e+000  1.4039902e+000  9.7901601e-009
1.3438720e+000  1.4039901e+000  1.0683072e-008
1.3439000e+000  1.4039899e+000  1.1840858e-008
1.3439170e+000  1.4039898e+000  1.2618502e-008
1.3439310e+000  1.4039897e+000  1.3294536e-008
1.3439500e+000  1.4039896e+000  1.4208061e-008
1.3439620e+000  1.4039895e+000  1.4855230e-008
1.3440070e+000  1.4039892e+000  1.7324195e-008
1.3440210e+000  1.4039891e+000  1.8180006e-008
1.3440500e+000  1.4039890e+000  1.9922713e-008
1.3441000e+000  1.4039890e+000  2.3354733e-008
1.3441120e+000  1.4039890e+000  2.4253415e-008
1.3441390e+000  1.4039888e+000  2.6312943e-008
1.3441500e+000  1.4039885e+000  2.7202030e-008
1.3441750e+000  1.4039880e+000  2.9329021e-008
1.3441880e+000  1.4039880e+000  3.0536963e-008
1.3442020e+000  1.4039880e+000  3.2031626e-008
1.3442250e+000  1.4039880e+000  3.4834789e-008
1.3442500e+000  1.4039880e+000  3.8286354e-008
1.3442780e+000  1.4039880e+000  4.3079598e-008
1.3442930e+000  1.4039880e+000  4.5911718e-008
1.3443050e+000  1.4039880e+000  4.8756631e-008
1.3443190e+000  1.4039876e+000  5.2181488e-008
1.3443380e+000  1.4039872e+000  5.7102191e-008
1.3443500e+000  1.4039870e+000  6.0556014e-008
1.3443690e+000  1.4039870e+000  6.6016135e-008
1.3443870e+000  1.4039870e+000  7.1650740e-008
1.3444000e+000  1.4039870e+000  7.5727521e-008
1.3444140e+000  1.4039870e+000  8.0320109e-008
1.3444280e+000  1.4039870e+000  8.5081830e-008
1.3444410e+000  1.4039870e+000  8.9426334e-008
1.3444500e+000  1.4039870e+000  9.2654758e-008
1.3444630e+000  1.4039870e+000  9.7405964e-008
1.3444730e+000  1.4039870e+000  1.0097908e-007
1.3444860e+000  1.4039868e+000  1.0555498e-007
1.3445090e+000  1.4039863e+000  1.1366897e-007
1.3445190e+000  1.4039860e+000  1.1715780e-007
1.3445310e+000  1.4039860e+000  1.2133162e-007
1.3445540e+000  1.4039860e+000  1.2816006e-007
1.3445640e+000  1.4039860e+000  1.3086803e-007
1.3445760e+000  1.4039860e+000  1.3396144e-007
1.3445910e+000  1.4039860e+000  1.3717291e-007
1.3446020e+000  1.4039860e+000  1.3922844e-007
1.3446130e+000  1.4039860e+000  1.4081319e-007
1.3446250e+000  1.4039860e+000  1.4204497e-007
1.3446360e+000  1.4039860e+000  1.4274165e-007
1.3446470e+000  1.4039860e+000  1.4304242e-007
1.3446580e+000  1.4039860e+000  1.4280818e-007
1.3446700e+000  1.4039860e+000  1.4209252e-007
1.3446810e+000  1.4039860e+000  1.4091661e-007
1.3446920e+000  1.4039860e+000  1.3926986e-007
1.3447040e+000  1.4039860e+000  1.3716304e-007
1.3447150e+000  1.4039860e+000  1.3454244e-007
1.3447250e+000  1.4039860e+000  1.3170768e-007
1.3447350e+000  1.4039860e+000  1.2831642e-007
1.3447450e+000  1.4039859e+000  1.2480740e-007
1.3447570e+000  1.4039856e+000  1.1997156e-007
1.3447750e+000  1.4039852e+000  1.1292096e-007
1.3447900e+000  1.4039850e+000  1.0750726e-007
1.3448020e+000  1.4039850e+000  1.0296432e-007
1.3448250e+000  1.4039850e+000  9.5114186e-008
1.3448390e+000  1.4039850e+000  9.0311099e-008
1.3448500e+000  1.4039850e+000  8.6822993e-008
1.3448700e+000  1.4039850e+000  8.0496112e-008
1.3448840e+000  1.4039850e+000  7.6182874e-008
1.3449000e+000  1.4039850e+000  7.1535739e-008
1.3449160e+000  1.4039850e+000  6.7095052e-008
1.3449250e+000  1.4039849e+000  6.4273232e-008
1.3449380e+000  1.4039847e+000  6.0811538e-008
1.3449560e+000  1.4039845e+000  5.6126657e-008
1.3449830e+000  1.4039842e+000  4.9779814e-008
1.3450010e+000  1.4039840e+000  4.6041860e-008
1.3450160e+000  1.4039839e+000  4.3435051e-008
1.3450290e+000  1.4039838e+000  4.1398613e-008
1.3450500e+000  1.4039837e+000  3.8385135e-008
1.3450610e+000  1.4039837e+000  3.6990763e-008
1.3450750e+000  1.4039836e+000  3.5280686e-008
1.3450920e+000  1.4039835e+000  3.3415441e-008
1.3451060e+000  1.4039834e+000  3.1934354e-008
1.3451250e+000  1.4039833e+000  3.0124731e-008
1.3451370e+000  1.4039832e+000  2.9010686e-008
1.3451520e+000  1.4039832e+000  2.7705075e-008
1.3451820e+000  1.4039830e+000  2.5282167e-008
1.3452000e+000  1.4039829e+000  2.4018273e-008
1.3452100e+000  1.4039828e+000  2.3407205e-008
1.3452240e+000  1.4039828e+000  2.2521079e-008
1.3452500e+000  1.4039826e+000  2.1009946e-008
1.3452730e+000  1.4039825e+000  1.9844493e-008
1.3452870e+000  1.4039824e+000  1.9157410e-008
1.3453000e+000  1.4039823e+000  1.8567718e-008
1.3453180e+000  1.4039822e+000  1.7826062e-008
1.3453330e+000  1.4039822e+000  1.7233158e-008
1.3453500e+000  1.4039821e+000  1.6532136e-008
1.3453630e+000  1.4039820e+000  1.6041958e-008
1.3453780e+000  1.4039819e+000  1.5511111e-008
1.3453910e+000  1.4039818e+000  1.5049820e-008
1.3454000e+000  1.4039818e+000  1.4712670e-008
1.3454540e+000  1.4039815e+000  1.2962702e-008
1.3454690e+000  1.4039814e+000  1.2535641e-008
1.3455000e+000  1.4039812e+000  1.1620469e-008
1.3455500e+000  1.4039810e+000  1.0346595e-008
1.3455900e+000  1.4039807e+000  9.4613624e-009
1.3456000e+000  1.4039807e+000  9.2317473e-009
1.3456350e+000  1.4039805e+000  8.5464470e-009
1.3456500e+000  1.4039804e+000  8.2552754e-009
1.3457000e+000  1.4039801e+000  7.3977049e-009
1.3457250e+000  1.4039800e+000  7.0098575e-009
1.3457500e+000  1.4039799e+000  6.6596918e-009
1.3458000e+000  1.4039796e+000  6.0172600e-009
1.3458160e+000  1.4039796e+000  5.8458698e-009
1.3458500e+000  1.4039794e+000  5.4869134e-009
1.3459000e+000  1.4039791e+000  5.0516351e-009
1.3459500e+000  1.4039789e+000  4.7011535e-009
1.3460000e+000  1.4039787e+000  4.3946686e-009
1.3461000e+000  1.4039782e+000  3.8487941e-009
1.3462000e+000  1.4039777e+000  3.3660435e-009
1.3463000e+000  1.4039772e+000  2.9488950e-009
1.3463500e+000  1.4039770e+000  2.7725464e-009
1.3464000e+000  1.4039767e+000  2.6137561e-009
1.3464500e+000  1.4039765e+000  2.4833480e-009
1.3465000e+000  1.4039763e+000  2.3939691e-009
1.3466000e+000  1.4039758e+000  2.3421748e-009
1.3467000e+000  1.4039753e+000  2.3009822e-009
1.3467220e+000  1.4039752e+000  2.2939467e-009
1.3468000e+000  1.4039748e+000  2.2738235e-009
1.3469000e+000  1.4039743e+000  2.2540563e-009
1.3470000e+000  1.4039738e+000  2.2443621e-009
1.3472040e+000  1.4039727e+000  2.2386984e-009
1.3472820e+000  1.4039723e+000  2.2367910e-009
1.3476300e+000  1.4039704e+000  2.2286822e-009
1.3480000e+000  1.4039684e+000  2.2303668e-009
1.3485380e+000  1.4039655e+000  2.2446711e-009
1.3490000e+000  1.4039630e+000  2.2630455e-009
1.3490220e+000  1.4039629e+000  2.2639413e-009
1.3491000e+000  1.4039625e+000  2.2671855e-009
1.3494480e+000  1.4039606e+000  2.2821600e-009
1.3500000e+000  1.4039577e+000  2.3202642e-009
1.3503590e+000  1.4039557e+000  2.3473159e-009
1.3508150e+000  1.4039533e+000  2.3916438e-009
1.3509230e+000  1.4039527e+000  2.4022629e-009
1.3510000e+000  1.4039523e+000  2.4098179e-009
1.3511770e+000  1.4039513e+000  2.4276599e-009
1.3512710e+000  1.4039508e+000  2.4370765e-009
1.3520000e+000  1.4039469e+000  2.4987485e-009
1.3521850e+000  1.4039459e+000  2.5148005e-009
1.3526730e+000  1.4039432e+000  2.5511224e-009
1.3530000e+000  1.4039415e+000  2.5758569e-009
1.3531000e+000  1.4039409e+000  2.5835846e-009
1.3540000e+000  1.4039362e+000  2.6482278e-009
1.3540160e+000  1.4039361e+000  2.6500908e-009
1.3545840e+000  1.4039331e+000  2.7206221e-009
1.3549330e+000  1.4039313e+000  2.7648832e-009
1.3550000e+000  1.4039309e+000  2.7742931e-009
1.3560000e+000  1.4039257e+000  2.9233099e-009
1.3567710e+000  1.4039216e+000  3.0394186e-009
1.3570000e+000  1.4039204e+000  3.0765391e-009
1.3576920e+000  1.4039168e+000  3.1865818e-009
1.3580000e+000  1.4039152e+000  3.2364748e-009
1.3586140e+000  1.4039120e+000  3.3325388e-009
1.3590000e+000  1.4039099e+000  3.3977242e-009
1.3595380e+000  1.4039070e+000  3.4837810e-009
1.3600000e+000  1.4039045e+000  3.5627789e-009
1.3600340e+000  1.4039043e+000  3.5682794e-009
1.3601130e+000  1.4039039e+000  3.5807171e-009
1.3603690e+000  1.4039025e+000  3.6202545e-009
1.3604620e+000  1.4039020e+000  3.6342513e-009
1.3610000e+000  1.4038991e+000  3.7227657e-009
1.3620000e+000  1.4038937e+000  3.8692188e-009
1.3623160e+000  1.4038920e+000  3.9122879e-009
1.3630000e+000  1.4038883e+000  4.0163169e-009
1.3637450e+000  1.4038843e+000  4.1305083e-009
1.3640000e+000  1.4038830e+000  4.1706820e-009
1.3641740e+000  1.4038822e+000  4.1985706e-009
1.3650000e+000  1.4038779e+000  4.3255950e-009
1.3651050e+000  1.4038774e+000  4.3439606e-009
1.3656870e+000  1.4038744e+000  4.4316682e-009
1.3660000e+000  1.4038729e+000  4.4827958e-009
1.3660370e+000  1.4038727e+000  4.4890048e-009
1.3670000e+000  1.4038678e+000  4.6384817e-009
1.3674760e+000  1.4038653e+000  4.7189915e-009
1.3680000e+000  1.4038626e+000  4.8113730e-009
1.3690000e+000  1.4038573e+000  4.9950794e-009
1.3693500e+000  1.4038555e+000  5.0605394e-009
1.3694290e+000  1.4038550e+000  5.0754341e-009
1.3696860e+000  1.4038537e+000  5.1239090e-009
1.3697790e+000  1.4038532e+000  5.1415884e-009
1.3700000e+000  1.4038520e+000  5.1802483e-009
1.3710000e+000  1.4038467e+000  5.3918664e-009
1.3712280e+000  1.4038455e+000  5.4399024e-009
1.3720000e+000  1.4038413e+000  5.6021499e-009
1.3730000e+000  1.4038360e+000  5.8120787e-009
1.3735420e+000  1.4038332e+000  5.9259714e-009
1.3740000e+000  1.4038309e+000  6.0197925e-009
1.3750000e+000  1.4038258e+000  6.2259424e-009
1.3750800e+000  1.4038253e+000  6.2462201e-009
1.3760000e+000  1.4038206e+000  6.4825362e-009
1.3770000e+000  1.4038155e+000  6.7405921e-009
