Gary Hansen's new data on complex index of refraction
for CO2 ice. Supercedes Warren 1986

lambda-micron        nr               ni
1.8200000e-001  1.5773850e+000  1.5278222e-006
1.8225000e-001  1.5766427e+000  1.3891403e-006
1.8250000e-001  1.5759062e+000  1.2605141e-006
1.8275000e-001  1.5751715e+000  1.1490398e-006
1.8300000e-001  1.5744455e+000  1.0463575e-006
1.8325000e-001  1.5737213e+000  9.5693752e-007
1.8350000e-001  1.5730060e+000  8.7305224e-007
1.8400000e-001  1.5715875e+000  7.3127813e-007
1.8450000e-001  1.5701896e+000  6.1492803e-007
1.8500000e-001  1.5688111e+000  5.1916541e-007
1.8525000e-001  1.5681270e+000  4.7935672e-007
1.8550000e-001  1.5674520e+000  4.4038344e-007
1.8575000e-001  1.5667776e+000  4.0427444e-007
1.8600000e-001  1.5661119e+000  3.6976882e-007
1.8625000e-001  1.5654466e+000  3.3719949e-007
1.8650000e-001  1.5647899e+000  3.0660432e-007
1.8675000e-001  1.5641335e+000  2.7867521e-007
1.8700000e-001  1.5634866e+000  2.5355714e-007
1.8725000e-001  1.5628399e+000  2.3088916e-007
1.8750000e-001  1.5622056e+000  2.1018897e-007
1.8800000e-001  1.5609372e+000  1.7417089e-007
1.8850000e-001  1.5596857e+000  1.4441890e-007
1.8900000e-001  1.5584519e+000  1.2024443e-007
1.8950000e-001  1.5572299e+000  1.0081085e-007
1.9000000e-001  1.5560282e+000  8.4138216e-008
1.9050000e-001  1.5548421e+000  6.9836823e-008
1.9100000e-001  1.5536718e+000  5.7728450e-008
1.9150000e-001  1.5525198e+000  4.7472800e-008
1.9200000e-001  1.5513811e+000  3.8938212e-008
1.9225000e-001  1.5508117e+000  3.5384523e-008
1.9250000e-001  1.5502512e+000  3.1962391e-008
1.9275000e-001  1.5496926e+000  2.9077304e-008
1.9300000e-001  1.5491399e+000  2.6276776e-008
1.9325000e-001  1.5485885e+000  2.3942547e-008
1.9350000e-001  1.5480428e+000  2.1657626e-008
1.9375000e-001  1.5474985e+000  1.9727504e-008
1.9400000e-001  1.5469595e+000  1.7830924e-008
1.9450000e-001  1.5458922e+000  1.4713988e-008
1.9500000e-001  1.5448377e+000  1.2299566e-008
1.9550000e-001  1.5437924e+000  1.0462971e-008
1.9600000e-001  1.5427635e+000  9.1266925e-009
1.9650000e-001  1.5417591e+000  8.2116001e-009
1.9700000e-001  1.5408028e+000  7.6358372e-009
1.9750000e-001  1.5398465e+000  7.2261556e-009
1.9800000e-001  1.5388902e+000  6.8683459e-009
1.9900000e-001  1.5369775e+000  6.3375339e-009
2.0000000e-001  1.5350649e+000  5.9283625e-009
2.0200000e-001  1.5314265e+000  5.2515879e-009
2.0500000e-001  1.5265916e+000  4.4334877e-009
2.1000000e-001  1.5185333e+000  3.3013112e-009
2.1200000e-001  1.5154397e+000  2.9236445e-009
2.1500000e-001  1.5113330e+000  2.3302671e-009
2.1600000e-001  1.5099641e+000  2.1791877e-009
2.1700000e-001  1.5086598e+000  2.0352432e-009
2.2000000e-001  1.5049486e+000  1.6441215e-009
2.2200000e-001  1.5025256e+000  1.4815228e-009
2.2500000e-001  1.4991576e+000  1.2152972e-009
2.2800000e-001  1.4959295e+000  9.9831880e-010
2.3000000e-001  1.4938833e+000  8.4776825e-010
2.3200000e-001  1.4918829e+000  7.5142078e-010
2.3400000e-001  1.4900895e+000  6.5918794e-010
2.3500000e-001  1.4891928e+000  6.1482311e-010
2.3600000e-001  1.4882961e+000  5.8468656e-010
2.3800000e-001  1.4865027e+000  5.2801260e-010
2.4000000e-001  1.4847093e+000  4.6984449e-010
2.4200000e-001  1.4829548e+000  4.4762710e-010
