
 Absorption Cross-Sections for:  N2    

  28.01	Molecular Weight of Principal Isotope

     Wavelength    Cross-Section
     (microns)       (cm**2) 

   2.6700E-02      1.0170E-17
   2.7000E-02      1.0440E-17
   2.7200E-02      1.0620E-17
   2.7600E-02      1.0630E-17
   2.7900E-02      1.0740E-17
   2.8200E-02      1.0770E-17
   2.8500E-02      1.0810E-17
   2.8800E-02      1.1000E-17
   2.9200E-02      1.1150E-17
   2.9500E-02      1.1140E-17
   2.9900E-02      1.1380E-17
   3.0200E-02      1.1580E-17
   3.0600E-02      1.1910E-17
   3.1000E-02      1.1830E-17
   3.1400E-02      1.2170E-17
   3.1800E-02      1.2360E-17
   3.2200E-02      1.2910E-17
   3.2600E-02      1.3470E-17
   3.3100E-02      1.3500E-17
   3.3500E-02      1.3660E-17
   3.4000E-02      1.3980E-17
   3.4400E-02      1.4720E-17
   3.4900E-02      1.5460E-17
   3.5400E-02      1.5610E-17
   3.5900E-02      1.6400E-17
   3.6500E-02      1.6510E-17
   3.7000E-02      1.7250E-17
   3.7600E-02      1.7710E-17
   3.8100E-02      1.8320E-17
   3.8700E-02      1.8890E-17
   3.9400E-02      1.9630E-17
   4.0000E-02      2.0140E-17
   4.0700E-02      2.0680E-17
   4.1300E-02      2.2100E-17
   4.2000E-02      2.1900E-17
   4.2800E-02      2.2560E-17
   4.3500E-02      2.2960E-17
   4.4300E-02      2.3420E-17
   4.5100E-02      2.3090E-17
   4.5900E-02      2.3230E-17
   4.6800E-02      2.3140E-17
   4.7700E-02      2.3670E-17
   4.8600E-02      2.3770E-17
   4.9600E-02      2.3800E-17
   5.0600E-02      2.3730E-17
   5.1700E-02      2.4850E-17
   5.2800E-02      2.5810E-17
   5.3900E-02      2.5300E-17
   5.5100E-02      2.4660E-17
   5.6400E-02      2.3480E-17
   5.7700E-02      2.2780E-17
   5.9000E-02      2.2860E-17
   6.0500E-02      2.3280E-17
   6.2000E-02      2.3960E-17
   6.3600E-02      2.4320E-17
   6.5300E-02      2.4720E-17
   6.7000E-02      2.5600E-17
   6.8900E-02      2.5580E-17
   7.0800E-02      2.5860E-17
   7.2900E-02      2.6380E-17
   7.5100E-02      2.8220E-17
   7.7500E-02      2.9160E-17
   8.0000E-02      2.6490E-17
   8.2700E-02      2.3300E-17
   8.5500E-02      3.4690E-17
   8.8600E-02      4.7260E-17
   9.1800E-02      4.6120E-17
   9.5400E-02      5.3930E-17
   9.9200E-02      3.4830E-17
   1.0300E-01      5.5200E-18
   1.0800E-01      8.7800E-20
   1.2360E-01      7.0000E-22
