Left Bin Edge (nm)    Right Bin Edge (nm)    Bin Center (nm)        Stellar Flux (erg/s/nm/cm2) at 0.16 (AU)
1.3200000e+02        1.3600000e+02        1.3400000e+02        1.6231728e+00
1.3600000e+02        1.4000000e+02        1.3800000e+02        9.9803304e-01
1.4000000e+02        1.4400000e+02        1.4200000e+02        9.1454539e-01
1.4400000e+02        1.4800000e+02        1.4600000e+02        6.2265915e-01
1.4800000e+02        1.5200000e+02        1.5000000e+02        9.8632919e-01
1.5200000e+02        1.5600000e+02        1.5400000e+02        4.4807375e+00
1.5600000e+02        1.6000000e+02        1.5800000e+02        1.4089320e+00
1.6000000e+02        1.6400000e+02        1.6200000e+02        1.5888625e+00
1.6400000e+02        1.6800000e+02        1.6600000e+02        3.1364698e+00
1.6800000e+02        1.7200000e+02        1.7000000e+02        6.0547616e-01
1.7200000e+02        1.7600000e+02        1.7400000e+02        8.8553743e-01
1.7600000e+02        1.8000000e+02        1.7800000e+02        3.6466290e-01
1.8000000e+02        1.8400000e+02        1.8200000e+02        1.8259522e+00
1.8400000e+02        1.8800000e+02        1.8600000e+02        5.6023857e-01
1.8800000e+02        1.9200000e+02        1.9000000e+02        7.4277703e-01
1.9200000e+02        1.9600000e+02        1.9400000e+02        6.4912687e-01
1.9600000e+02        2.0000000e+02        1.9800000e+02        1.1840485e+00
2.0000000e+02        2.0400000e+02        2.0200000e+02        1.7109241e+00
2.0400000e+02        2.0800000e+02        2.0600000e+02        8.7564012e-01
2.0800000e+02        2.1200000e+02        2.1000000e+02        8.6382426e-01
2.1200000e+02        2.1600000e+02        2.1400000e+02        8.2722355e-01
2.1600000e+02        2.2000000e+02        2.1800000e+02        3.8841735e-01
2.2000000e+02        2.2400000e+02        2.2200000e+02        1.5776932e+00
2.2400000e+02        2.2800000e+02        2.2600000e+02        2.2729116e+00
2.2800000e+02        2.3200000e+02        2.3000000e+02        2.6227175e+00
2.3200000e+02        2.3600000e+02        2.3400000e+02        5.6846557e+00
2.3600000e+02        2.4000000e+02        2.3800000e+02        7.5581173e+00
2.4000000e+02        2.4400000e+02        2.4200000e+02        4.7792905e+00
2.4400000e+02        2.4800000e+02        2.4600000e+02        3.6041851e+00
2.4800000e+02        2.5200000e+02        2.5000000e+02        4.7416281e+00
2.5200000e+02        2.5600000e+02        2.5400000e+02        4.2049317e+00
2.5600000e+02        2.6000000e+02        2.5800000e+02        5.1684631e+00
2.6000000e+02        2.6400000e+02        2.6200000e+02        1.0990552e+01
2.6400000e+02        2.6800000e+02        2.6600000e+02        2.4683779e+00
2.6800000e+02        2.7200000e+02        2.7000000e+02        2.7151653e+00
2.7200000e+02        2.7600000e+02        2.7400000e+02        6.4991640e+00
2.7600000e+02        2.8000000e+02        2.7800000e+02        1.1659432e+01
2.8000000e+02        2.8400000e+02        2.8200000e+02        1.0919905e+01
2.8400000e+02        2.8800000e+02        2.8600000e+02        4.5323947e+00
2.8800000e+02        2.9200000e+02        2.9000000e+02        3.4988102e+00
2.9200000e+02        2.9600000e+02        2.9400000e+02        5.0790998e+00
2.9600000e+02        3.0000000e+02        2.9800000e+02        4.9649316e+00
3.0000000e+02        3.0400000e+02        3.0200000e+02        4.1728694e+00
3.0400000e+02        3.0800000e+02        3.0600000e+02        4.4072515e+00
3.0800000e+02        3.1200000e+02        3.1000000e+02        4.4590268e+00
3.1200000e+02        3.1600000e+02        3.1400000e+02        4.9947483e+00
3.1600000e+02        3.2000000e+02        3.1800000e+02        6.1934138e+00
3.2000000e+02        3.2400000e+02        3.2200000e+02        6.3051067e+00
3.2400000e+02        3.2800000e+02        3.2600000e+02        6.6419909e+00
3.2800000e+02        3.3200000e+02        3.3000000e+02        9.0533868e+00
3.3200000e+02        3.3600000e+02        3.3400000e+02        7.6304006e+00
3.3600000e+02        3.4000000e+02        3.3800000e+02        7.6298222e+00
3.4000000e+02        3.4400000e+02        3.4200000e+02        7.6292438e+00
3.4400000e+02        3.4800000e+02        3.4600000e+02        7.6286654e+00
3.4800000e+02        3.5200000e+02        3.5000000e+02        7.6280870e+00
3.5200000e+02        3.5600000e+02        3.5400000e+02        7.6275086e+00
3.5600000e+02        3.6000000e+02        3.5800000e+02        7.2483029e+00
3.6000000e+02        3.6400000e+02        3.6200000e+02        8.3795865e+00
3.6400000e+02        3.6800000e+02        3.6600000e+02        9.2324246e+00
3.6800000e+02        3.7200000e+02        3.7000000e+02        1.2933558e+01
3.7200000e+02        3.7600000e+02        3.7400000e+02        1.4783881e+01
3.7600000e+02        3.8000000e+02        3.7800000e+02        2.2637156e+01
3.8000000e+02        3.8400000e+02        3.8200000e+02        2.2024875e+01
3.8400000e+02        3.8800000e+02        3.8600000e+02        2.3058205e+01
3.8800000e+02        3.9200000e+02        3.9000000e+02        2.9270185e+01
3.9200000e+02        3.9600000e+02        3.9400000e+02        4.5339415e+01
3.9600000e+02        4.0000000e+02        3.9800000e+02        5.2800879e+01
